txn_id_a,txn_id_b
3248151,3248840
3248840,3250016
3250016,3250527
3250527,3252656
3252656,3252661
3252661,3252748
3252748,3253315
3253315,3253665
3253665,3256393
3256393,3256707
3256707,3257032
3257032,3257239
3257239,3258367
3258367,3258532
3258532,3258906
3258906,3263235
3263235,3263264
3263264,3263295
3263295,3263349
3263349,3265710
3265710,3266155
3266155,3267122
3267122,3267731
3267731,3267840
3267840,3271504
3271504,3272181
3272181,3275841
3275841,3276724
3276724,3277659
3277659,3277921
3277921,3278297
3278297,3279627
3279627,3280553
3280553,3280883
3280883,3283992
3283992,3285705
3285705,3287158
3287158,3288217
3288217,3292454
3292454,3293443
3293443,3294079
3294079,3297512
3297512,3298086
3298086,3298088
3298088,3298101
3298101,3298806
3298806,3301221
3301221,3301493
3301493,3301519
3301519,3301763
3301763,3302117
3302117,3303114
3303114,3306936
3306936,3310641
3310641,3311105
3311105,3311136
3311136,3311977
3311977,3312387
3312387,3312451
3312451,3312855
3312855,3313369
3313369,3313542
3313542,3314234
3314234,3315381
3315381,3315409
3315409,3318748
3318748,3319884
3319884,3320600
3320600,3320614
3320614,3320958
3320958,3321839
3321839,3321941
3321941,3325696
3325696,3325842
3325842,3325933
3325933,3329844
3329844,3334412
3334412,3335053
3335053,3336515
3336515,3336761
3336761,3337852
3337852,3339087
3339087,3339745
3339745,3340895
3340895,3341882
3341882,3341892
3341892,3342057
3342057,3342675
3342675,3343292
3343292,3343334
3343334,3344710
3344710,3345923
3345923,3347220
3347220,3348257
3348257,3349117
3349117,3350873
3350873,3351992
3351992,3352920
3352920,3355243
3355243,3355261
3355261,3356471
3356471,3357182
3357182,3357193
3357193,3357668
3357668,3361046
3361046,3362980
3362980,3367376
3367376,3369066
3369066,3369463
3369463,3372225
3372225,3373300
3373300,3375348
3375348,3376199
3376199,3376228
3376228,3376269
3376269,3376290
3376290,3377874
3377874,3378101
3378101,3378194
3378194,3378224
3378224,3378395
3378395,3381375
3381375,3383037
3383037,3387931
3387931,3388270
3388270,3389696
3389696,3391494
3391494,3392455
3392455,3393106
3393106,3394185
3394185,3399927
3399927,3403734
3403734,3404508
3404508,3404724
3404724,3405583
3405583,3411390
3411390,3411395
3411395,3412010
3412010,3412368
3412368,3415836
3415836,3417237
3417237,3417253
3417253,3417740
3417740,3418808
3418808,3419148
3419148,3424644
3424644,3429309
3429309,3429685
3429685,3430084
3430084,3430643
3430643,3432947
3432947,3432959
3432959,3435274
3435274,3435411
3435411,3435963
3435963,3437236
3437236,3444471
3444471,3446105
3446105,3448964
3448964,3452515
3452515,3453194
3453194,3453663
3453663,3455945
3455945,3456781
3456781,3457479
3457479,3457522
3457522,3457554
3457554,3459310
3459310,3462135
3462135,3469723
3469723,3470960
3470960,3471730
3471730,3472164
3472164,3472316
3472316,3475107
3475107,3475982
3475982,3478146
3478146,3478151
3478151,3482293
3482293,3484237
3484237,3485467
3485467,3486596
3486596,3487607
3487607,3488837
3488837,3489761
3489761,3490427
3490427,3490741
3490741,3493102
3493102,3495225
3495225,3499360
3499360,3503176
3503176,3505014
3505014,3505752
3505752,3506610
3506610,3508215
3508215,3510989
3510989,3511567
3511567,3511827
3511827,3511880
3511880,3511890
3511890,3511960
3511960,3512498
3512498,3514066
3514066,3514899
3514899,3515254
3515254,3516304
3516304,3516316
3516316,3520781
3520781,3522739
3522739,3525327
3525327,3526011
3526011,3526300
3526300,3528334
3528334,3529429
3529429,3530000
3530000,3530017
3530017,3534316
3534316,3535803
3535803,3536931
3536931,3536976
3536976,3536990
3536990,3536994
3536994,3537071
3537071,3537552
3537552,3537908
3537908,3540319
3540319,3540356
3540356,3541007
3541007,3541357
3541357,3546259
3546259,3549995
3549995,3551982
3551982,3555600
3555600,3557651
3557651,3558147
3558147,3558788
3558788,3559574
3559574,3562546
3562546,3563958
3563958,3564234
3564234,3564737
3564737,3565925
3565925,3565952
3565952,3566564
3566564,3567615
3567615,3570041
3570041,3571457
3571457,3572097
3572097,3573281
3573281,3574995
3574995,3577909
3577909,3578919
3578919,3582622
3000003,3000004
3000004,3000018
3000018,3000184
3000184,3000192
3000192,3000195
3000195,3000247
3000247,3000250
3000250,3000766
3000766,3001086
3001086,3001101
3001101,3001166
3001166,3001264
3001264,3001605
3001605,3002036
3002036,3002049
3002049,3002156
3002156,3002282
3002282,3002284
3002284,3002470
3002470,3002968
3002968,3002991
3002991,3003917
3003917,3004036
3004036,3004811
3004811,3004814
3004814,3004975
3004975,3004986
3004986,3004993
3004993,3005162
3005162,3005443
3005443,3006046
3006046,3006196
3006196,3006214
3006214,3006260
3006260,3006488
3006488,3006646
3006646,3006658
3006658,3006669
3006669,3006678
3006678,3006716
3006716,3007157
3007157,3007813
3007813,3007817
3007817,3007843
3007843,3007883
3007883,3008147
3008147,3008883
3008883,3008899
3008899,3009061
3009061,3009546
3009546,3009550
3009550,3009769
3009769,3009785
3009785,3010061
3010061,3010067
3010067,3010339
3010339,3010353
3010353,3010532
3010532,3011239
3011239,3011429
3011429,3013552
3013552,3013560
3013560,3013565
3013565,3015673
3015673,3015784
3015784,3016561
3016561,3016838
3016838,3016972
3016972,3017089
3017089,3017547
3017547,3017807
3017807,3020148
3020148,3020502
3020502,3020723
3020723,3020979
3020979,3020992
3020992,3021807
3021807,3021813
3021813,3022429
3022429,3022779
3022779,3023088
3023088,3023102
3023102,3023875
3023875,3024139
3024139,3024302
3024302,3024479
3024479,3024507
3024507,3024544
3024544,3026657
3026657,3027753
3027753,3027888
3027888,3032862
3032862,3033423
3033423,3033546
3033546,3034358
3034358,3035275
3035275,3035556
3035556,3036126
3036126,3036174
3036174,3038131
3038131,3038972
3038972,3039382
3039382,3039562
3039562,3040124
3040124,3040322
3040322,3040340
3040340,3040361
3040361,3041880
3041880,3041986
3041986,3042308
3042308,3042807
3042807,3043691
3043691,3046362
3046362,3047460
3047460,3047639
3047639,3047922
3047922,3047991
3047991,3048313
3048313,3048708
3048708,3048752
3048752,3049343
3049343,3049961
3049961,3050311
3050311,3050410
3050410,3051344
3051344,3052468
3052468,3055224
3055224,3055267
3055267,3055378
3055378,3055506
3055506,3055693
3055693,3055717
3055717,3055765
3055765,3055802
3055802,3055928
3055928,3056100
3056100,3056131
3056131,3056230
3056230,3059723
3059723,3060076
3060076,3061956
3061956,3063189
3063189,3063228
3063228,3063277
3063277,3063294
3063294,3063344
3063344,3063386
3063386,3063470
3063470,3063885
3063885,3063913
3063913,3064555
3064555,3066141
3066141,3066370
3066370,3066825
3066825,3067133
3067133,3068637
3068637,3068686
3068686,3068781
3068781,3069435
3069435,3069965
3069965,3070122
3070122,3070128
3070128,3070420
3070420,3071001
3071001,3071417
3071417,3071422
3071422,3071432
3071432,3071442
3071442,3071530
3071530,3073562
3073562,3073764
3073764,3073894
3073894,3075394
3075394,3075814
3075814,3075840
3075840,3075865
3075865,3075910
3075910,3076779
3076779,3076817
3076817,3077001
3077001,3077628
3077628,3078304
3078304,3079219
3079219,3079306
3079306,3079325
3079325,3079575
3079575,3079700
3079700,3080203
3080203,3081052
3081052,3081187
3081187,3081921
3081921,3083051
3083051,3083118
3083118,3083649
3083649,3085620
3085620,3085724
3085724,3086198
3086198,3086466
3086466,3088613
3088613,3089094
3089094,3089644
3089644,3089849
3089849,3089957
3089957,3091804
3091804,3092230
3092230,3092642
3092642,3093042
3093042,3093729
3093729,3093917
3093917,3094949
3094949,3095000
3095000,3095234
3095234,3095284
3095284,3096502
3096502,3096527
3096527,3096846
3096846,3096879
3096879,3096893
3096893,3096914
3096914,3096932
3096932,3096989
3096989,3097255
3097255,3098459
3098459,3102401
3102401,3103166
3103166,3103447
3103447,3105160
3105160,3106271
3106271,3106280
3106280,3108043
3108043,3108219
3108219,3109616
3109616,3109802
3109802,3110109
3110109,3110298
3110298,3110451
3110451,3110469
3110469,3111227
3111227,3111448
3111448,3111587
3111587,3111786
3111786,3112460
3112460,3113221
3113221,3113797
3113797,3113804
3113804,3114308
3114308,3114360
3114360,3114436
3114436,3115280
3115280,3115562
3115562,3116334
3116334,3116668
3116668,3116939
3116939,3117199
3117199,3117444
3117444,3118369
3118369,3119022
3119022,3119958
3119958,3122062
3122062,3123736
3123736,3123801
3123801,3123895
3123895,3124539
3124539,3124653
3124653,3125516
3125516,3125526
3125526,3125603
3125603,3125721
3125721,3125898
3125898,3126613
3126613,3126653
3126653,3126675
3126675,3126757
3126757,3126768
3126768,3127629
3127629,3128326
3128326,3130160
3130160,3131339
3131339,3132705
3132705,3133528
3133528,3134252
3134252,3135147
3135147,3135202
3135202,3135250
3135250,3135450
3135450,3135739
3135739,3135943
3135943,3137218
3137218,3138895
3138895,3141067
3141067,3141085
3141085,3142996
3142996,3143049
3143049,3143193
3143193,3143268
3143268,3143286
3143286,3143719
3143719,3144084
3144084,3144820
3144820,3144888
3144888,3145361
3145361,3146715
3146715,3146753
3146753,3146834
3146834,3147028
3147028,3147122
3147122,3147330
3147330,3147347
3147347,3148151
3148151,3148635
3148635,3150053
3150053,3150297
3150297,3151029
3151029,3151436
3151436,3151854
3151854,3152771
3152771,3154631
3154631,3154684
3154684,3154771
3154771,3156105
3156105,3156692
3156692,3157009
3157009,3157126
3157126,3157185
3157185,3157717
3157717,3158077
3158077,3158081
3158081,3158118
3158118,3158561
3158561,3159798
3159798,3165707
3165707,3166828
3166828,3166847
3166847,3167586
3167586,3167860
3167860,3167893
3167893,3167929
3167929,3168048
3168048,3169354
3169354,3170465
3170465,3171988
3171988,3172685
3172685,3173447
3173447,3177796
3177796,3179429
3179429,3182272
3182272,3183164
3183164,3183964
3183964,3184515
3184515,3186600
3186600,3186689
3186689,3186964
3186964,3187251
3187251,3187291
3187291,3187530
3187530,3188271
3188271,3189973
3189973,3191549
3191549,3191981
3191981,3192253
3192253,3192279
3192279,3193796
3193796,3193969
3193969,3194019
3194019,3195658
3195658,3195694
3195694,3196736
3196736,3197565
3197565,3199629
3199629,3201133
3201133,3201148
3201148,3201702
3201702,3202142
3202142,3203209
3203209,3203824
3203824,3204472
3204472,3204581
3204581,3204622
3204622,3204841
3204841,3205604
3205604,3205776
3205776,3205833
3205833,3205837
3205837,3205932
3205932,3206896
3206896,3207034
3207034,3207048
3207048,3207289
3207289,3207483
3207483,3207608
3207608,3208163
3208163,3208197
3208197,3208291
3208291,3209674
3209674,3210764
3210764,3210914
3210914,3210972
3210972,3211852
3211852,3211914
3211914,3212117
3212117,3212526
3212526,3212561
3212561,3212568
3212568,3212577
3212577,3216981
3216981,3217292
3217292,3218981
3218981,3218997
3218997,3220912
3220912,3220996
3220996,3221236
3221236,3221260
3221260,3221493
3221493,3222963
3222963,3223191
3223191,3223228
3223228,3223307
3223307,3223878
3223878,3224548
3224548,3224581
3224581,3226912
3226912,3227327
3227327,3227403
3227403,3227753
3227753,3227835
3227835,3228743
3228743,3228785
3228785,3228798
3228798,3228852
3228852,3228979
3228979,3229095
3229095,3229473
3229473,3229693
3229693,3230690
3230690,3230771
3230771,3231341
3231341,3233679
3233679,3235096
3235096,3236125
3236125,3238500
3238500,3239448
3239448,3239728
3239728,3240578
3240578,3242649
3242649,3242697
3242697,3242842
3242842,3244526
3244526,3244549
3244549,3244569
3244569,3244598
3244598,3244609
3244609,3244710
3244710,3245181
3245181,3245966
3245966,3246014
3246014,3247134
3247134,3248242
3248242,3249022
3249022,3250568
3250568,3250709
3250709,3250718
3250718,3250832
3250832,3251039
3251039,3252839
3252839,3253025
3253025,3253237
3253237,3254978
3254978,3255282
3255282,3255989
3255989,3258163
3258163,3259102
3259102,3259341
3259341,3259503
3259503,3259892
3259892,3259896
3259896,3261771
3261771,3262097
3262097,3262473
3262473,3264183
3264183,3264212
3264212,3264299
3264299,3265102
3265102,3265280
3265280,3265416
3265416,3266837
3266837,3267414
3267414,3267478
3267478,3267846
3267846,3268139
3268139,3268943
3268943,3270452
3270452,3270949
3270949,3270992
3270992,3271000
3271000,3271015
3271015,3271418
3271418,3276390
3276390,3276520
3276520,3277308
3277308,3277346
3277346,3277618
3277618,3281106
3281106,3283181
3283181,3283182
3283182,3283376
3283376,3283491
3283491,3284961
3284961,3285003
3285003,3285379
3285379,3285450
3285450,3285508
3285508,3286134
3286134,3286448
3286448,3286917
3286917,3287134
3287134,3288554
3288554,3288997
3288997,3289230
3289230,3290926
3290926,3291604
3291604,3291785
3291785,3292541
3292541,3292934
3292934,3294145
3294145,3294322
3294322,3294345
3294345,3294352
3294352,3294379
3294379,3294466
3294466,3294574
3294574,3294599
3294599,3294623
3294623,3294998
3294998,3295007
3295007,3296488
3296488,3296502
3296502,3296530
3296530,3296566
3296566,3296654
3296654,3298473
3298473,3298683
3298683,3298684
3298684,3298706
3298706,3298772
3298772,3299027
3299027,3300264
3300264,3300462
3300462,3302284
3302284,3302302
3302302,3303251
3303251,3303264
3303264,3304956
3304956,3306243
3306243,3306283
3306283,3306693
3306693,3306726
3306726,3306731
3306731,3306754
3306754,3306799
3306799,3307112
3307112,3308576
3308576,3308602
3308602,3308952
3308952,3309955
3309955,3311525
3311525,3312122
3312122,3313372
3313372,3313509
3313509,3313746
3313746,3314807
3314807,3314931
3314931,3315125
3315125,3315389
3315389,3317132
3317132,3317206
3317206,3318042
3318042,3318052
3318052,3318913
3318913,3318952
3318952,3319142
3319142,3319735
3319735,3319775
3319775,3323401
3323401,3324603
3324603,3324664
3324664,3324723
3324723,3325302
3325302,3326141
3326141,3326358
3326358,3327577
3327577,3327838
3327838,3327910
3327910,3327927
3327927,3331770
3331770,3332064
3332064,3334167
3334167,3337478
3337478,3337520
3337520,3340115
3340115,3341778
3341778,3341795
3341795,3342206
3342206,3342815
3342815,3342830
3342830,3342871
3342871,3344339
3344339,3344630
3344630,3345326
3345326,3345695
3345695,3345744
3345744,3345746
3345746,3345782
3345782,3345815
3345815,3346982
3346982,3348421
3348421,3350365
3350365,3350712
3350712,3351793
3351793,3351806
3351806,3351879
3351879,3352078
3352078,3352141
3352141,3352198
3352198,3352349
3352349,3353052
3353052,3353904
3353904,3354029
3354029,3356147
3356147,3358028
3358028,3358546
3358546,3359305
3359305,3361592
3361592,3362137
3362137,3362249
3362249,3362573
3362573,3362864
3362864,3362918
3362918,3364098
3364098,3364145
3364145,3364640
3364640,3365430
3365430,3365796
3365796,3366126
3366126,3366272
3366272,3366896
3366896,3367193
3367193,3367951
3367951,3368416
3368416,3370190
3370190,3370805
3370805,3371008
3371008,3372002
3372002,3373404
3373404,3373567
3373567,3374098
3374098,3374131
3374131,3374630
3374630,3375365
3375365,3377950
3377950,3377983
3377983,3377984
3377984,3378004
3378004,3378007
3378007,3378025
3378025,3378026
3378026,3378335
3378335,3379085
3379085,3379213
3379213,3379238
3379238,3379275
3379275,3379315
3379315,3379463
3379463,3380238
3380238,3380313
3380313,3380613
3380613,3380912
3380912,3381765
3381765,3382014
3382014,3382019
3382019,3382450
3382450,3382708
3382708,3382713
3382713,3383294
3383294,3384784
3384784,3384905
3384905,3386032
3386032,3386038
3386038,3386124
3386124,3386133
3386133,3386164
3386164,3387254
3387254,3387314
3387314,3387334
3387334,3387340
3387340,3387353
3387353,3387385
3387385,3387998
3387998,3388069
3388069,3388217
3388217,3388790
3388790,3389705
3389705,3390523
3390523,3390594
3390594,3390945
3390945,3391086
3391086,3391114
3391114,3391145
3391145,3391240
3391240,3391263
3391263,3392145
3392145,3392385
3392385,3394467
3394467,3394479
3394479,3394513
3394513,3394929
3394929,3394950
3394950,3395185
3395185,3395326
3395326,3395360
3395360,3395380
3395380,3395395
3395395,3395573
3395573,3395696
3395696,3395705
3395705,3395829
3395829,3395979
3395979,3395983
3395983,3396549
3396549,3397066
3397066,3397213
3397213,3397223
3397223,3397235
3397235,3398614
3398614,3399016
3399016,3399952
3399952,3400149
3400149,3400221
3400221,3400418
3400418,3401815
3401815,3401816
3401816,3401838
3401838,3402546
3402546,3402848
3402848,3404138
3404138,3404167
3404167,3404246
3404246,3404285
3404285,3404864
3404864,3404886
3404886,3404969
3404969,3405166
3405166,3405303
3405303,3405353
3405353,3406102
3406102,3406318
3406318,3406370
3406370,3407016
3407016,3407250
3407250,3407484
3407484,3409997
3409997,3410351
3410351,3411339
3411339,3411548
3411548,3412374
3412374,3413464
3413464,3414657
3414657,3414788
3414788,3414874
3414874,3414880
3414880,3414883
3414883,3414885
3414885,3414888
3414888,3415452
3415452,3416013
3416013,3417220
3417220,3418021
3418021,3418087
3418087,3418137
3418137,3418620
3418620,3419098
3419098,3419143
3419143,3419633
3419633,3420383
3420383,3421153
3421153,3421267
3421267,3421279
3421279,3421310
3421310,3421322
3421322,3421388
3421388,3421483
3421483,3421502
3421502,3421509
3421509,3422369
3422369,3422940
3422940,3422944
3422944,3422957
3422957,3422979
3422979,3424204
3424204,3424209
3424209,3424262
3424262,3424482
3424482,3424663
3424663,3425033
3425033,3425484
3425484,3425918
3425918,3426464
3426464,3429686
3429686,3431149
3431149,3432435
3432435,3432476
3432476,3434296
3434296,3437387
3437387,3437428
3437428,3437475
3437475,3439552
3439552,3439872
3439872,3439885
3439885,3440205
3440205,3440227
3440227,3442929
3442929,3445821
3445821,3445857
3445857,3447338
3447338,3447379
3447379,3447382
3447382,3448089
3448089,3448251
3448251,3448699
3448699,3451581
3451581,3451625
3451625,3452585
3452585,3452629
3452629,3453171
3453171,3455807
3455807,3455927
3455927,3455984
3455984,3457057
3457057,3458942
3458942,3459500
3459500,3459788
3459788,3460434
3460434,3461729
3461729,3465997
3465997,3466297
3466297,3466360
3466360,3466575
3466575,3466861
3466861,3467795
3467795,3467833
3467833,3468315
3468315,3468384
3468384,3472036
3472036,3475394
3475394,3475402
3475402,3475698
3475698,3476698
3476698,3477634
3477634,3477672
3477672,3480394
3480394,3480401
3480401,3481061
3481061,3481760
3481760,3483482
3483482,3483502
3483502,3484041
3484041,3485039
3485039,3485404
3485404,3486364
3486364,3486628
3486628,3488114
3488114,3488148
3488148,3488158
3488158,3489186
3489186,3489539
3489539,3492996
3492996,3493797
3493797,3496356
3496356,3497446
3497446,3497513
3497513,3497800
3497800,3498967
3498967,3500473
3500473,3502446
3502446,3504839
3504839,3507309
3507309,3508403
3508403,3512382
3512382,3512399
3512399,3512401
3512401,3512406
3512406,3512409
3512409,3512420
3512420,3512442
3512442,3512867
3512867,3514271
3514271,3514296
3514296,3514527
3514527,3517975
3517975,3520602
3520602,3521456
3521456,3522155
3522155,3522171
3522171,3523283
3523283,3523820
3523820,3523856
3523856,3523863
3523863,3526751
3526751,3527040
3527040,3529442
3529442,3530755
3530755,3531980
3531980,3532011
3532011,3532017
3532017,3532090
3532090,3534042
3534042,3534117
3534117,3536302
3536302,3537205
3537205,3537320
3537320,3537387
3537387,3538118
3538118,3538125
3538125,3538211
3538211,3539346
3539346,3539370
3539370,3541289
3541289,3542157
3542157,3542621
3542621,3545530
3545530,3545913
3545913,3546202
3546202,3547432
3547432,3550410
3550410,3550452
3550452,3550463
3550463,3551318
3551318,3551764
3551764,3552046
3552046,3552447
3552447,3553279
3553279,3554254
3554254,3556008
3556008,3557217
3557217,3557679
3557679,3557744
3557744,3557778
3557778,3561248
3561248,3565028
3565028,3566337
3566337,3567914
3567914,3567963
3567963,3568779
3568779,3570670
3570670,3571550
3571550,3572832
3572832,3572879
3572879,3574061
3574061,3574625
3574625,3575687
3575687,3576607
3576607,3576609
3576609,3580314
3580314,3580407
3580407,3580799
3580799,3581632
3581632,3581698
3581698,3582144
3582144,3582485
3582485,3582494
3582494,3584388
3584388,3584469
3000005,3000012
3000012,3000131
3000131,3000163
3000163,3000759
3000759,3000775
3000775,3000859
3000859,3001008
3001008,3001023
3001023,3001032
3001032,3001050
3001050,3001066
3001066,3001069
3001069,3001106
3001106,3001365
3001365,3001606
3001606,3001676
3001676,3001749
3001749,3001906
3001906,3001915
3001915,3002255
3002255,3002307
3002307,3002333
3002333,3002389
3002389,3002659
3002659,3003096
3003096,3003101
3003101,3003109
3003109,3003116
3003116,3003119
3003119,3003121
3003121,3003149
3003149,3003202
3003202,3003323
3003323,3003385
3003385,3003401
3003401,3003445
3003445,3003466
3003466,3003554
3003554,3003626
3003626,3003657
3003657,3003846
3003846,3004083
3004083,3004102
3004102,3004236
3004236,3004261
3004261,3004263
3004263,3004318
3004318,3004361
3004361,3004406
3004406,3004486
3004486,3004618
3004618,3004628
3004628,3004649
3004649,3004766
3004766,3004946
3004946,3004974
3004974,3005031
3005031,3005472
3005472,3005512
3005512,3005652
3005652,3005679
3005679,3005767
3005767,3006197
3006197,3006302
3006302,3006407
3006407,3006742
3006742,3006769
3006769,3006815
3006815,3006925
3006925,3007026
3007026,3007160
3007160,3007422
3007422,3007519
3007519,3007631
3007631,3007710
3007710,3007918
3007918,3007929
3007929,3008647
3008647,3008661
3008661,3008709
3008709,3009042
3009042,3009069
3009069,3009124
3009124,3009136
3009136,3009362
3009362,3009512
3009512,3009638
3009638,3009671
3009671,3009696
3009696,3010012
3010012,3010352
3010352,3010766
3010766,3011317
3011317,3011376
3011376,3011379
3011379,3011779
3011779,3011922
3011922,3011961
3011961,3012143
3012143,3012768
3012768,3012778
3012778,3013279
3013279,3013303
3013303,3013761
3013761,3014375
3014375,3014695
3014695,3014928
3014928,3015443
3015443,3016048
3016048,3016138
3016138,3016169
3016169,3016261
3016261,3016527
3016527,3016703
3016703,3017143
3017143,3017512
3017512,3018353
3018353,3018502
3018502,3018530
3018530,3018702
3018702,3018825
3018825,3018920
3018920,3019747
3019747,3020615
3020615,3020998
3020998,3021143
3021143,3021219
3021219,3021296
3021296,3021392
3021392,3021481
3021481,3021521
3021521,3021671
3021671,3022013
3022013,3022493
3022493,3022508
3022508,3022513
3022513,3022560
3022560,3022732
3022732,3022907
3022907,3023565
3023565,3023614
3023614,3023615
3023615,3023729
3023729,3024240
3024240,3024816
3024816,3025040
3025040,3025251
3025251,3025277
3025277,3025947
3025947,3026120
3026120,3026498
3026498,3026589
3026589,3026754
3026754,3026971
3026971,3027000
3027000,3027352
3027352,3027358
3027358,3027419
3027419,3027442
3027442,3027458
3027458,3027527
3027527,3027616
3027616,3027757
3027757,3027945
3027945,3031091
3031091,3031198
3031198,3031626
3031626,3031802
3031802,3032163
3032163,3032320
3032320,3032434
3032434,3032436
3032436,3032683
3032683,3032838
3032838,3032906
3032906,3033734
3033734,3033820
3033820,3034319
3034319,3035006
3035006,3035319
3035319,3036316
3036316,3036506
3036506,3036510
3036510,3036599
3036599,3036858
3036858,3036862
3036862,3038143
3038143,3038173
3038173,3038775
3038775,3038784
3038784,3038884
3038884,3038986
3038986,3039137
3039137,3039408
3039408,3039456
3039456,3040359
3040359,3040496
3040496,3040783
3040783,3040954
3040954,3041117
3041117,3041247
3041247,3041485
3041485,3042009
3042009,3043301
3043301,3043341
3043341,3043357
3043357,3043492
3043492,3043572
3043572,3043577
3043577,3043864
3043864,3043865
3043865,3043866
3043866,3043908
3043908,3044054
3044054,3044566
3044566,3045768
3045768,3045909
3045909,3045928
3045928,3046185
3046185,3046440
3046440,3046645
3046645,3047240
3047240,3047635
3047635,3047866
3047866,3048121
3048121,3048130
3048130,3048233
3048233,3048626
3048626,3048880
3048880,3048896
3048896,3049121
3049121,3049205
3049205,3049352
3049352,3049359
3049359,3049583
3049583,3049913
3049913,3049978
3049978,3050055
3050055,3050594
3050594,3051441
3051441,3051510
3051510,3051625
3051625,3051901
3051901,3052198
3052198,3052234
3052234,3052405
3052405,3052648
3052648,3052702
3052702,3052835
3052835,3053060
3053060,3053425
3053425,3053504
3053504,3053568
3053568,3053772
3053772,3053901
3053901,3054869
3054869,3055110
3055110,3055213
3055213,3055221
3055221,3055279
3055279,3055290
3055290,3055342
3055342,3055408
3055408,3055521
3055521,3055738
3055738,3056378
3056378,3056381
3056381,3056496
3056496,3057351
3057351,3058766
3058766,3058781
3058781,3058856
3058856,3058955
3058955,3059170
3059170,3059711
3059711,3060056
3060056,3060266
3060266,3060345
3060345,3060696
3060696,3061043
3061043,3061286
3061286,3061520
3061520,3062138
3062138,3062370
3062370,3062414
3062414,3062594
3062594,3063124
3063124,3063476
3063476,3063773
3063773,3063842
3063842,3064241
3064241,3064293
3064293,3064413
3064413,3064456
3064456,3064529
3064529,3064537
3064537,3064691
3064691,3065272
3065272,3065474
3065474,3065564
3065564,3065884
3065884,3065987
3065987,3066143
3066143,3066184
3066184,3066970
3066970,3067090
3067090,3067138
3067138,3067141
3067141,3067145
3067145,3067152
3067152,3067173
3067173,3067211
3067211,3067223
3067223,3067278
3067278,3067349
3067349,3067538
3067538,3067676
3067676,3068005
3068005,3068034
3068034,3068129
3068129,3068455
3068455,3068499
3068499,3068933
3068933,3069626
3069626,3070241
3070241,3070604
3070604,3070645
3070645,3070699
3070699,3070876
3070876,3070967
3070967,3071176
3071176,3071260
3071260,3071335
3071335,3071769
3071769,3071773
3071773,3072298
3072298,3072312
3072312,3072710
3072710,3072770
3072770,3072861
3072861,3073074
3073074,3073675
3073675,3073988
3073988,3074472
3074472,3075305
3075305,3075574
3075574,3077038
3077038,3077051
3077051,3077554
3077554,3077842
3077842,3078844
3078844,3079617
3079617,3079914
3079914,3081108
3081108,3081319
3081319,3081357
