case_id,card_id
CC-0142,C08087-K1
CC-0143,C06121-K2
CC-0144,C10553-K1
CC-0145,C06224-K2
CC-0146,C07870-K2
CC-0147,C06549-K1
CC-0148,C12103-K1
CC-0149,C00967-K1
CC-0150,C00728-K2
CC-0151,C08913-K2
CC-0152,C06942-K2
CC-0153,C12961-K2
CC-0154,C03277-K1
CC-0155,C01984-K1
CC-0156,C03040-K2
CC-0157,C07648-K2
CC-0158,C02309-K2
CC-0159,C11944-K1
CC-0160,C03080-K2
CC-0161,C05362-K1
CC-0162,C03108-K1
CC-0163,C00614-K2
CC-0164,C01966-K1
CC-0165,C06208-K1
CC-0166,C11227-K2
CC-0167,C12897-K1
CC-0168,C01138-K2
CC-0169,C09791-K1
CC-0170,C11332-K1
CC-0171,C12111-K1
CC-0172,C04105-K2
CC-0173,C07686-K1
CC-0174,C05309-K1
CC-0175,C06605-K1
CC-0176,C03278-K2
CC-0177,C01155-K2
CC-0178,C07981-K1
CC-0179,C12223-K1
CC-0180,C11597-K2
CC-0181,C01040-K2
CC-0182,C01179-K1
CC-0183,C09612-K1
CC-0184,C02716-K2
CC-0185,C11595-K1
CC-0186,C09800-K2
CC-0187,C10308-K1
CC-0188,C04965-K2
CC-0189,C03787-K1
CC-0190,C11642-K1
CC-0191,C12144-K2
CC-0192,C09666-K2
CC-0193,C03738-K2
CC-0194,C03651-K2
CC-0195,C10040-K1
CC-0196,C02065-K1
CC-0197,C04248-K2
CC-0198,C02245-K2
CC-0199,C11597-K2
CC-0200,C02902-K2
CC-0201,C08450-K2
CC-0202,C01486-K1
CC-0203,C11709-K2
CC-0204,C07220-K1
CC-0205,C06764-K2
CC-0206,C04597-K2
CC-0207,C10930-K2
CC-0208,C04134-K1
CC-0209,C05704-K2
CC-0210,C06942-K2
CC-0211,C11509-K2
CC-0212,C01116-K2
CC-0213,C12982-K1
CC-0214,C04348-K1
CC-0215,C01119-K2
CC-0216,C05689-K2
CC-0217,C00777-K1
CC-0218,C11919-K2
CC-0219,C11898-K1
CC-0220,C02897-K1
CC-0221,C02231-K2
CC-0222,C02776-K1
CC-0223,C06630-K2
CC-0224,C01887-K1
CC-0225,C07743-K2
CC-0226,C02250-K2
CC-0227,C07204-K1
CC-0228,C06464-K1
CC-0229,C00273-K1
CC-0230,C00426-K2
CC-0231,C08460-K1
CC-0232,C07993-K1
CC-0233,C06962-K2
CC-0234,C12542-K1
CC-0235,C09146-K1
CC-0236,C02573-K2
CC-0237,C05359-K1
CC-0238,C07508-K2
CC-0239,C13364-K1
CC-0240,C09354-K1
CC-0241,C11092-K2
CC-0242,C01982-K2
CC-0243,C00952-K1
CC-0244,C01377-K1
CC-0245,C01175-K1
CC-0246,C03168-K1
CC-0247,C02545-K2
CC-0248,C03405-K2
CC-0249,C01909-K2
CC-0250,C08381-K1
CC-0251,C06168-K1
CC-0252,C05423-K1
CC-0253,C11958-K1
CC-0254,C09241-K2
CC-0255,C02354-K2
CC-0256,C06707-K1
CC-0257,C02656-K1
CC-0258,C04046-K2
CC-0259,C11294-K2
CC-0260,C06797-K1
CC-0261,C01269-K1
CC-0262,C09363-K2
CC-0263,C05739-K2
CC-0264,C02222-K1
CC-0265,C11019-K2
CC-0266,C06663-K2
CC-0267,C06108-K1
CC-0268,C12602-K1
CC-0269,C08256-K2
CC-0270,C07871-K1
CC-0271,C11191-K1
CC-0272,C02456-K1
CC-0273,C09165-K2
CC-0274,C05245-K2
CC-0275,C10757-K2
CC-0276,C12742-K1
CC-0277,C01983-K1
CC-0278,C13253-K2
CC-0279,C03040-K2
CC-0280,C10955-K2
CC-0281,C10983-K1
CC-0282,C03047-K2
CC-0283,C11227-K2
CC-0284,C13388-K1
CC-0285,C08860-K1
CC-0286,C07936-K2
CC-0287,C05509-K1
CC-0288,C08489-K2
CC-0289,C05704-K2
CC-0290,C11923-K2
CC-0291,C06224-K2
CC-0292,C03474-K1
CC-0293,C04269-K1
CC-0294,C00622-K1
CC-0295,C03738-K2
CC-0296,C10132-K1
CC-0297,C03381-K1
CC-0298,C05530-K2
CC-0299,C08679-K1
CC-0300,C11539-K2
CC-0301,C07717-K1
CC-0302,C03397-K1
CC-0303,C07006-K1
CC-0304,C08190-K2
CC-0305,C12987-K1
CC-0306,C12453-K1
CC-0307,C06744-K2
CC-0308,C09354-K1
CC-0309,C08466-K1
CC-0310,C04571-K2
CC-0311,C06362-K1
CC-0312,C11031-K2
CC-0313,C07513-K1
CC-0314,C10402-K1
CC-0315,C01426-K1
CC-0316,C03231-K2
CC-0317,C11148-K1
CC-0318,C11246-K1
CC-0319,C13081-K1
CC-0320,C12094-K2
CC-0321,C01002-K1
CC-0322,C04865-K1
CC-0323,C11522-K2
CC-0324,C13372-K1
CC-0325,C11970-K1
CC-0326,C10852-K1
CC-0327,C07845-K2
CC-0328,C02147-K2
CC-0329,C11944-K1
CC-0330,C00889-K2
CC-0331,C09657-K2
CC-0332,C10372-K1
CC-0333,C04346-K2
CC-0334,C11847-K2
CC-0335,C13449-K1
CC-0336,C02780-K2
CC-0337,C02181-K2
CC-0338,C02231-K1
CC-0339,C08482-K1
CC-0340,C07212-K2
CC-0341,C00810-K1
CC-0342,C12961-K2
CC-0343,C01719-K1
CC-0344,C08989-K2
CC-0345,C10955-K2
CC-0346,C10840-K1
CC-0347,C02809-K2
CC-0348,C03427-K2
CC-0349,C03108-K1
CC-0350,C09296-K1
CC-0351,C01890-K1
CC-0352,C12861-K1
CC-0353,C00488-K1
CC-0354,C11951-K1
CC-0355,C06121-K2
CC-0356,C07295-K1
CC-0357,C11844-K2
CC-0358,C01104-K2
CC-0359,C03676-K2
CC-0360,C08450-K2
CC-0361,C02477-K1
CC-0362,C08489-K2
CC-0363,C09806-K1
CC-0364,C01155-K2
CC-0365,C06630-K2
CC-0366,C02573-K2
CC-0367,C09344-K1
CC-0368,C00557-K1
CC-0369,C11381-K2
CC-0370,C12982-K1
CC-0371,C04196-K2
CC-0372,C11352-K1
CC-0373,C11496-K2
CC-0374,C07615-K1
CC-0375,C07204-K1
CC-0376,C07993-K1
CC-0377,C03285-K2
CC-0378,C02740-K1
CC-0379,C02545-K2
CC-0380,C11597-K2
CC-0381,C05791-K2
CC-0382,C08366-K2
CC-0383,C05704-K2
CC-0384,C03264-K1
CC-0385,C11294-K2
CC-0386,C11460-K1
CC-0387,C00854-K2
CC-0388,C11173-K1
CC-0389,C03360-K1
CC-0390,C04965-K2
CC-0391,C08860-K1
CC-0392,C12680-K1
CC-0393,C09521-K2
CC-0394,C02231-K2
CC-0395,C08913-K2
CC-0396,C02842-K1
CC-0397,C05263-K2
CC-0398,C05245-K2
CC-0399,C05031-K2
CC-0400,C00008-K2
CC-0401,C07508-K2
CC-0402,C00488-K1
CC-0403,C12966-K1
CC-0404,C11509-K2
CC-0405,C02354-K2
CC-0406,C09872-K1
CC-0407,C02480-K1
CC-0408,C10032-K2
CC-0409,C03341-K2
CC-0410,C12961-K2
CC-0411,C12900-K2
CC-0412,C02715-K1
CC-0413,C03341-K2
CC-0414,C07073-K1
CC-0415,C02902-K2
CC-0416,C00938-K1
CC-0417,C09354-K1
CC-0418,C11787-K1
CC-0419,C03898-K1
CC-0420,C05942-K1
CC-0421,C09301-K2
CC-0422,C11082-K1
CC-0423,C05704-K2
CC-0424,C07981-K1
CC-0425,C02250-K2
CC-0426,C09579-K2
CC-0427,C01966-K1
CC-0428,C05504-K1
CC-0429,C08962-K2
CC-0430,C07703-K2
CC-0431,C00728-K2
CC-0432,C06324-K1
CC-0433,C06872-K1
CC-0434,C01525-K2
CC-0435,C12656-K1
CC-0436,C10568-K1
CC-0437,C07855-K1
CC-0438,C01521-K2
CC-0439,C11915-K1
CC-0440,C02181-K2
CC-0441,C02882-K1
CC-0442,C09868-K1
CC-0443,C09286-K1
CC-0444,C06655-K1
CC-0445,C00477-K2
CC-0446,C00426-K2
CC-0447,C10955-K2
CC-0448,C06299-K1
CC-0449,C10519-K1
CC-0450,C03575-K2
CC-0451,C02279-K1
CC-0452,C11000-K2
CC-0453,C09657-K2
CC-0454,C02354-K2
CC-0455,C11709-K2
CC-0456,C06962-K2
CC-0457,C03992-K2
CC-0458,C04571-K2
CC-0459,C02250-K2
CC-0460,C13440-K2
CC-0461,C13527-K1
CC-0462,C04108-K2
CC-0463,C04034-K2
CC-0464,C02231-K1
CC-0465,C02320-K2
CC-0466,C13081-K1
CC-0467,C13171-K2
CC-0468,C08917-K1
CC-0469,C06744-K2
CC-0470,C10139-K1
CC-0471,C00796-K1
CC-0472,C11958-K1
CC-0473,C03019-K2
CC-0474,C09206-K2
CC-0475,C06224-K2
CC-0476,C07338-K1
CC-0477,C07741-K2
CC-0478,C01719-K1
CC-0479,C03465-K1
CC-0480,C00750-K2
CC-0481,C12641-K2
CC-0482,C11844-K2
CC-0483,C06257-K1
CC-0484,C05302-K1
CC-0485,C08161-K1
CC-0486,C03933-K1
CC-0487,C06210-K1
CC-0488,C00889-K2
CC-0489,C06464-K1
CC-0490,C09363-K2
CC-0491,C11539-K2
CC-0492,C12703-K1
CC-0493,C04709-K2
CC-0494,C09471-K2
CC-0495,C05245-K2
CC-0496,C07562-K2
CC-0497,C09791-K1
CC-0498,C11309-K1
CC-0499,C06026-K2
CC-0500,C12861-K1
CC-0501,C06549-K1
CC-0502,C02882-K1
CC-0503,C06906-K1
CC-0504,C04046-K2
CC-0505,C13410-K1
CC-0506,C01521-K2
CC-0507,C12258-K2
CC-0508,C02740-K1
CC-0509,C03427-K2
CC-0510,C05704-K2
CC-0511,C07847-K2
CC-0512,C07867-K2
CC-0513,C12011-K1
CC-0514,C03019-K2
CC-0515,C01119-K2
CC-0516,C10273-K1
CC-0517,C08947-K1
CC-0518,C08831-K1
CC-0519,C03278-K2
CC-0520,C11597-K2
CC-0521,C12094-K2
CC-0522,C05986-K2
CC-0523,C08489-K2
CC-0524,C10010-K1
CC-0525,C00076-K1
CC-0526,C01954-K1
CC-0527,C10585-K2
CC-0528,C13447-K1
CC-0529,C00329-K2
CC-0530,C11865-K1
CC-0531,C10837-K2
CC-0532,C11031-K2
CC-0533,C06855-K1
CC-0534,C11001-K1
CC-0535,C00294-K2
CC-0536,C12598-K2
CC-0537,C11970-K1
CC-0538,C02780-K2
CC-0539,C12166-K2
CC-0540,C03360-K1
CC-0541,C06630-K2
CC-0542,C05307-K2
CC-0543,C03550-K1
CC-0544,C10955-K2
CC-0545,C04346-K2
CC-0546,C13450-K1
CC-0547,C11919-K2
CC-0548,C09241-K2
CC-0549,C01846-K1
CC-0550,C01864-K1
CC-0551,C07841-K1
CC-0552,C07981-K1
CC-0553,C07981-K1
CC-0554,C01721-K2
CC-0555,C13058-K2
CC-0556,C02708-K1
CC-0557,C11000-K2
CC-0558,C02971-K1
CC-0559,C09274-K1
CC-0560,C11509-K2
CC-0561,C09259-K1
CC-0562,C11352-K1
CC-0563,C11859-K1
CC-0564,C13249-K1
CC-0565,C05203-K1
CC-0566,C06658-K1
CC-0567,C03517-K1
CC-0568,C02740-K1
CC-0569,C02902-K2
CC-0570,C12942-K2
CC-0571,C02589-K1
CC-0572,C01856-K1
CC-0573,C00912-K1
CC-0574,C08587-K1
CC-0575,C03999-K1
CC-0576,C00259-K1
CC-0577,C03558-K1
CC-0578,C02716-K2
CC-0579,C13372-K1
CC-0580,C05797-K1
CC-0581,C01656-K1
CC-0582,C01226-K1
CC-0583,C11916-K1
CC-0584,C07855-K1
CC-0585,C08994-K1
CC-0586,C04269-K1
CC-0587,C11416-K2
CC-0588,C10308-K1
CC-0589,C01987-K1
CC-0590,C03285-K2
CC-0591,C00750-K2
CC-0592,C05678-K1
CC-0593,C11709-K2
CC-0594,C10266-K1
CC-0595,C04865-K1
CC-0596,C01333-K2
CC-0597,C05289-K2
CC-0598,C07990-K1
CC-0599,C06166-K1
CC-0600,C01435-K1
CC-0601,C06031-K2
CC-0602,C08614-K1
CC-0603,C09791-K1
CC-0604,C12897-K1
CC-0605,C06728-K1
CC-0606,C11637-K1
CC-0607,C08945-K2
CC-0608,C10422-K2
CC-0609,C02466-K1
CC-0610,C04146-K1
CC-0611,C07149-K2
CC-0612,C11702-K1
CC-0613,C00889-K2
CC-0614,C12111-K1
CC-0615,C03042-K1
CC-0616,C04650-K1
CC-0617,C09443-K1
CC-0618,C03575-K2
CC-0619,C07336-K1
CC-0620,C11798-K1
CC-0621,C03066-K1
CC-0622,C03288-K1
CC-0623,C08450-K2
CC-0624,C00051-K1
CC-0625,C04248-K2
CC-0626,C06220-K1
CC-0627,C05977-K1
CC-0628,C01116-K2
CC-0629,C02444-K1
CC-0630,C05128-K1
CC-0631,C02354-K2
CC-0632,C07513-K1
CC-0633,C02250-K2
CC-0634,C11061-K1
CC-0635,C03231-K2
CC-0636,C09800-K2
CC-0637,C07164-K1
CC-0638,C05410-K1
CC-0639,C01104-K2
CC-0640,C12132-K2
CC-0641,C01922-K2
CC-0642,C06006-K1
CC-0643,C04046-K2
CC-0644,C06403-K2
CC-0645,C00768-K2
CC-0646,C11958-K1
CC-0647,C01123-K1
CC-0648,C00094-K3
CC-0649,C04549-K1
CC-0650,C08746-K1
CC-0651,C00978-K1
CC-0652,C12681-K1
CC-0653,C01109-K2
CC-0654,C03843-K1
CC-0655,C13410-K1
CC-0656,C06362-K1
CC-0657,C09933-K2
CC-0658,C03184-K1
CC-0659,C10632-K1
CC-0660,C04072-K2
CC-0661,C03040-K2
CC-0662,C01138-K2
CC-0663,C12094-K2
CC-0664,C13389-K1
CC-0665,C02814-K1
CC-0666,C05753-K1
CC-0667,C10585-K2
CC-0668,C06464-K1
CC-0669,C10766-K1
CC-0670,C02182-K1
CC-0671,C01525-K2
CC-0672,C08707-K1
CC-0673,C00725-K1
CC-0674,C07957-K1
CC-0675,C07901-K1
CC-0676,C06341-K1
CC-0677,C10933-K1
CC-0678,C04024-K2
CC-0679,C00094-K3
CC-0680,C12007-K2
CC-0681,C00534-K2
CC-0682,C13037-K1
CC-0683,C01182-K1
CC-0684,C09586-K2
CC-0685,C07870-K2
CC-0686,C04775-K1
CC-0687,C01529-K1
CC-0688,C09354-K1
CC-0689,C08797-K1
CC-0690,C09666-K2
CC-0691,C00750-K2
CC-0692,C03271-K1
CC-0693,C02545-K2
CC-0694,C13440-K2
CC-0695,C11000-K2
CC-0696,C08106-K1
CC-0697,C06630-K2
CC-0698,C03278-K2
CC-0699,C11558-K2
CC-0700,C05381-K2
CC-0701,C12448-K1
CC-0702,C09908-K1
CC-0703,C06962-K2
CC-0704,C10568-K1
CC-0705,C07212-K2
CC-0706,C13364-K1
CC-0707,C11413-K1
CC-0708,C10164-K1
CC-0709,C02921-K1
CC-0710,C07311-K1
CC-0711,C11309-K1
CC-0712,C13372-K1
CC-0713,C11807-K1
CC-0714,C06598-K1
CC-0715,C02181-K2
CC-0716,C02231-K1
CC-0717,C02999-K2
CC-0718,C12861-K1
CC-0719,C07204-K1
CC-0720,C00854-K2
CC-0721,C11496-K2
CC-0722,C09043-K1
CC-0723,C01727-K2
CC-0724,C00294-K2
CC-0725,C07997-K1
CC-0726,C07452-K1
CC-0727,C12476-K1
CC-0728,C03341-K2
CC-0729,C11187-K1
CC-0730,C00426-K2
CC-0731,C10799-K1
CC-0732,C05704-K2
CC-0733,C12591-K1
CC-0734,C10024-K1
CC-0735,C01578-K1
CC-0736,C09666-K2
CC-0737,C05684-K1
CC-0738,C06744-K2
CC-0739,C04446-K1
CC-0740,C09246-K1
CC-0741,C07050-K1
CC-0742,C00768-K2
CC-0743,C12626-K2
CC-0744,C01909-K2
CC-0745,C05753-K1
CC-0746,C03285-K2
CC-0747,C13190-K2
CC-0748,C00983-K1
CC-0749,C11919-K2
CC-0750,C11509-K2
CC-0751,C10308-K1
CC-0752,C08450-K2
CC-0753,C05245-K2
CC-0754,C10137-K2
CC-0755,C11597-K2
CC-0756,C09554-K1
CC-0757,C11529-K1
CC-0758,C12250-K1
CC-0759,C10266-K1
CC-0760,C11855-K1
CC-0761,C01953-K2
CC-0762,C07867-K2
CC-0763,C01782-K2
CC-0764,C11031-K2
CC-0765,C09933-K2
CC-0766,C09301-K2
CC-0767,C02902-K2
CC-0768,C13139-K1
CC-0769,C10320-K1
CC-0770,C06420-K1
CC-0771,C09241-K2
CC-0772,C13171-K2
CC-0773,C05127-K1
CC-0774,C01116-K2
CC-0775,C09314-K1
CC-0776,C11852-K1
CC-0777,C11055-K1
CC-0778,C01881-K1
CC-0779,C12942-K2
CC-0780,C07518-K2
CC-0781,C11269-K1
CC-0782,C12982-K1
CC-0783,C08424-K1
CC-0784,C05307-K2
CC-0785,C03047-K2
CC-0786,C10771-K1
CC-0787,C00649-K1
CC-0788,C07341-K1
CC-0789,C12420-K1
CC-0790,C02214-K2
CC-0791,C02749-K1
CC-0792,C07360-K1
CC-0793,C09471-K2
CC-0794,C10149-K1
CC-0795,C09872-K1
CC-0796,C01333-K2
CC-0797,C02266-K2
CC-0798,C02082-K1
CC-0799,C11343-K1
CC-0800,C07220-K1
CC-0801,C10760-K2
CC-0802,C10459-K1
CC-0803,C04435-K1
CC-0804,C12680-K1
CC-0805,C09800-K2
CC-0806,C13249-K1
CC-0807,C08374-K1
CC-0808,C05302-K1
CC-0809,C07910-K1
CC-0810,C12517-K2
CC-0811,C11958-K1
CC-0812,C11294-K2
CC-0813,C00854-K2
CC-0814,C05175-K1
CC-0815,C06220-K1
CC-0816,C02780-K2
CC-0817,C06265-K1
CC-0818,C08637-K2
CC-0819,C02436-K1
CC-0820,C11944-K1
CC-0821,C10364-K1
CC-0822,C10127-K2
CC-0823,C02342-K1
CC-0824,C12900-K2
CC-0825,C08489-K2
CC-0826,C11873-K2
CC-0827,C08593-K1
CC-0828,C11237-K1
CC-0829,C04597-K2
CC-0830,C09868-K1
CC-0831,C07847-K2
CC-0832,C07957-K1
CC-0833,C10998-K1
CC-0834,C04361-K2
CC-0835,C11143-K1
CC-0836,C13019-K1
CC-0837,C08190-K2
CC-0838,C10955-K2
CC-0839,C04726-K1
CC-0840,C11159-K1
CC-0841,C00331-K1
CC-0842,C04248-K2
CC-0843,C11298-K2
CC-0844,C08348-K1
CC-0845,C00306-K1
CC-0846,C06511-K1
CC-0847,C06682-K1
CC-0848,C07223-K1
CC-0849,C03095-K2
CC-0850,C06121-K2
CC-0851,C02646-K1
CC-0852,C10986-K2
CC-0853,C10026-K1
CC-0854,C08989-K2
CC-0855,C01525-K2
CC-0856,C11397-K1
CC-0857,C12961-K2
CC-0858,C06403-K2
CC-0859,C09508-K1
CC-0860,C03285-K2
CC-0861,C10264-K1
CC-0862,C01104-K2
CC-0863,C00409-K1
CC-0864,C09468-K2
CC-0865,C02456-K1
CC-0866,C05472-K1
CC-0867,C01154-K1
CC-0868,C02809-K2
CC-0869,C08662-K1
CC-0870,C13007-K1
CC-0871,C11730-K1
CC-0872,C11792-K1
CC-0873,C10434-K1
CC-0874,C08894-K1
CC-0875,C08014-K1
CC-0876,C08281-K2
CC-0877,C07878-K1
CC-0878,C09420-K2
CC-0879,C06228-K1
CC-0880,C02205-K1
CC-0881,C08072-K1
CC-0882,C02566-K1
CC-0883,C00259-K1
CC-0884,C06026-K2
CC-0885,C04759-K1
CC-0886,C01569-K1
CC-0887,C04840-K1
CC-0888,C11190-K1
CC-0889,C05061-K1
CC-0890,C03467-K1
CC-0891,C06940-K1
CC-0892,C06190-K1
CC-0893,C06663-K2
CC-0894,C12061-K2
CC-0895,C07638-K1
CC-0896,C12002-K1
CC-0897,C10364-K1
CC-0898,C01563-K1
CC-0899,C06837-K1
CC-0900,C04968-K1
CC-0901,C12276-K1
CC-0902,C08269-K1
CC-0903,C07102-K1
CC-0904,C05551-K2
CC-0905,C11080-K1
CC-0906,C06677-K1
CC-0907,C03252-K1
CC-0908,C06320-K1
CC-0909,C01482-K1
CC-0910,C02387-K1
CC-0911,C12900-K2
CC-0912,C12920-K1
CC-0913,C10957-K2
CC-0914,C07686-K1
CC-0915,C02883-K2
CC-0916,C07204-K1
CC-0917,C12267-K2
CC-0918,C07096-K2
CC-0919,C01983-K1
CC-0920,C05192-K2
CC-0921,C04277-K1
CC-0922,C13190-K2
CC-0923,C10224-K1
CC-0924,C10715-K2
CC-0925,C04741-K1
CC-0926,C07227-K2
CC-0927,C07925-K1
CC-0928,C11509-K2
CC-0929,C01823-K1
CC-0930,C09363-K2
CC-0931,C01244-K1
CC-0932,C11000-K2
CC-0933,C10507-K2
CC-0934,C10871-K1
CC-0935,C12991-K1
CC-0936,C08190-K2
CC-0937,C02472-K1
CC-0938,C10485-K1
CC-0939,C01408-K1
CC-0940,C10215-K1
CC-0941,C05230-K1
CC-0942,C12517-K2
CC-0943,C11444-K1
CC-0944,C03231-K2
CC-0945,C12971-K1
CC-0946,C07171-K2
CC-0947,C05303-K1
CC-0948,C06855-K1
CC-0949,C11323-K1
CC-0950,C06988-K1
CC-0951,C08845-K3
CC-0952,C03750-K1
CC-0953,C10615-K1
CC-0954,C12738-K1
CC-0955,C10849-K1
CC-0956,C00019-K1
CC-0957,C09882-K1
CC-0958,C01755-K2
CC-0959,C01119-K2
CC-0960,C06744-K2
CC-0961,C09800-K2
CC-0962,C10883-K1
CC-0963,C10755-K1
CC-0964,C00844-K1
CC-0965,C11164-K1
CC-0966,C11543-K2
CC-0967,C06331-K2
CC-0968,C11413-K1
CC-0969,C04172-K2
CC-0970,C07826-K1
CC-0971,C11065-K1
CC-0972,C08315-K1
CC-0973,C00790-K1
CC-0974,C13005-K1
CC-0975,C05307-K2
CC-0976,C00294-K2
CC-0977,C00235-K2
CC-0978,C03786-K1
CC-0979,C07698-K1
CC-0980,C06962-K2
CC-0981,C04125-K2
CC-0982,C08918-K2
CC-0983,C04928-K1
CC-0984,C01196-K1
CC-0985,C05533-K1
CC-0986,C09583-K1
CC-0987,C05992-K1
CC-0988,C07311-K1
CC-0989,C00750-K2
CC-0990,C12028-K2
CC-0991,C10760-K2
CC-0992,C10924-K2
CC-0993,C13147-K1
CC-0994,C01403-K1
CC-0995,C09063-K1
CC-0996,C13086-K2
CC-0997,C00583-K1
CC-0998,C00952-K1
CC-0999,C00557-K1
CC-1000,C12889-K1
CC-1001,C02800-K1
CC-1002,C09241-K2
CC-1003,C11844-K2
CC-1004,C04537-K1
CC-1005,C11309-K1
CC-1006,C07919-K2
CC-1007,C06906-K1
CC-1008,C02121-K1
CC-1009,C10585-K2
CC-1010,C13447-K1
CC-1011,C02545-K2
CC-1012,C03363-K2
CC-1013,C04134-K1
CC-1014,C01301-K1
CC-1015,C02716-K2
CC-1016,C13067-K1
CC-1017,C12942-K2
CC-1018,C09806-K1
CC-1019,C04754-K1
CC-1020,C06215-K1
CC-1021,C08256-K2
CC-1022,C06708-K2
CC-1023,C03278-K2
CC-1024,C03770-K1
CC-1025,C02055-K1
CC-1026,C08831-K1
CC-1027,C11513-K1
CC-1028,C02177-K1
CC-1029,C10026-K1
CC-1030,C10553-K1
CC-1031,C07685-K1
CC-1032,C07761-K1
CC-1033,C00768-K2
CC-1034,C06224-K2
CC-1035,C00466-K1
CC-1036,C06001-K1
CC-1037,C01063-K2
CC-1038,C13364-K1
CC-1039,C11000-K2
CC-1040,C06373-K1
CC-1041,C12947-K1
CC-1042,C02188-K1
CC-1043,C03341-K2
CC-1044,C04710-K1
CC-1045,C06420-K1
CC-1046,C07149-K2
CC-1047,C12913-K1
CC-1048,C04117-K2
CC-1049,C03485-K1
CC-1050,C08438-K1
CC-1051,C03539-K1
CC-1052,C01392-K1
CC-1053,C00299-K1
CC-1054,C13492-K1
CC-1055,C11496-K2
CC-1056,C11923-K2
CC-1057,C04077-K1
CC-1058,C01744-K2
CC-1059,C01347-K2
CC-1060,C00887-K1
CC-1061,C06147-K2
CC-1062,C02756-K1
CC-1063,C07212-K2
CC-1064,C09657-K2
CC-1065,C01137-K1
CC-1066,C12382-K1
CC-1067,C00450-K1
CC-1068,C07338-K1
CC-1069,C06630-K2
CC-1070,C12309-K1
CC-1071,C11539-K2
CC-1072,C05155-K1
CC-1073,C00329-K2
CC-1074,C05245-K2
CC-1075,C08943-K2
