case_id,outcome,pattern,exposure_usd,opened_at,closed_at,analyst_notes
CC-0011,confirmed_fraud,card_not_present_new_device,149.95,2016-07-03 07:46:35,2016-07-06 16:46:35,"Case CC-0011: cardholder C13259 reported unrecognized activity on card C13259-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $149.95 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a SM-G550T Build/MMB29K on chrome 59.0 for android. Card blocked and reissued. Customer reimbursed."
CC-0012,confirmed_fraud,card_not_present_fraud,123.52,2016-07-03 08:40:41,2016-07-07 23:40:41,Case CC-0012: cardholder C07220 reported unrecognized activity on card C07220-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $123.52 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-0013,confirmed_fraud,account_takeover,261.95,2016-07-03 09:17:43,2016-07-06 06:17:43,Case CC-0013: cardholder C11464 reported unrecognized activity on card C11464-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $261.95 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0014,confirmed_fraud,card_not_present_fraud,75.15,2016-07-03 09:35:08,2016-07-08 23:35:08,Case CC-0014: cardholder C01002 reported unrecognized activity on card C01002-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $75.15 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on chrome 62.0. Card blocked and reissued. Customer reimbursed.
CC-0015,cleared,none,0.00,2016-07-03 11:43:21,2016-07-05 03:43:21,Case CC-0015: model scored a $93.80 transaction at 0.92. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0016,confirmed_fraud,out_of_region_use,68.46,2016-07-03 18:31:19,2016-07-04 22:31:19,"Case CC-0016: cardholder C03575 reported unrecognized activity on card C03575-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $68.46 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0017,cleared,none,0.00,2016-07-03 18:52:00,2016-07-04 12:52:00,Case CC-0017: model scored a $149.97 transaction at 0.88. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0018,confirmed_fraud,card_not_present_new_device,150.07,2016-07-03 19:37:07,2016-07-04 20:37:07,"Case CC-0018: cardholder C06800 reported unrecognized activity on card C06800-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $150.07 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed."
CC-0019,confirmed_fraud,card_not_present_new_device,225.09,2016-07-03 21:52:10,2016-07-05 01:52:10,"Case CC-0019: cardholder C06208 reported unrecognized activity on card C06208-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $225.09 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a rv:52.0 on firefox. Card blocked and reissued. Customer reimbursed."
CC-0020,confirmed_fraud,account_takeover,433.91,2016-07-03 21:54:56,2016-07-09 16:54:56,Case CC-0020: cardholder C11082 reported unrecognized activity on card C11082-K1. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $433.91 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0021,cleared,none,0.00,2016-07-03 22:08:36,2016-07-05 16:08:36,Case CC-0021: model scored a $50.09 transaction at 0.86. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0022,confirmed_fraud,card_not_present_fraud,100.04,2016-07-03 22:54:31,2016-07-04 20:54:31,Case CC-0022: cardholder C07847 reported unrecognized activity on card C07847-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $100.04 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed.
CC-0023,cleared,none,0.00,2016-07-03 23:05:27,2016-07-05 18:05:27,Case CC-0023: model scored a $24.91 transaction at 0.94. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0024,confirmed_fraud,account_takeover,1894.06,2016-07-03 23:13:51,2016-07-08 15:13:51,"Case CC-0024: cardholder C06059 reported unrecognized activity on card C06059-K2. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $1,894.06 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed."
CC-0025,confirmed_fraud,account_takeover,100.00,2016-07-03 23:24:56,2016-07-05 15:24:56,Case CC-0025: cardholder C12311 reported unrecognized activity on card C12311-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $100.00 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0026,cleared,none,0.00,2016-07-03 23:36:27,2016-07-05 18:36:27,Case CC-0026: model scored a $200.07 transaction at 0.99. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0027,confirmed_fraud,account_takeover,59.06,2016-07-04 00:21:14,2016-07-05 16:21:14,Case CC-0027: cardholder C02999 reported unrecognized activity on card C02999-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $59.06 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0028,confirmed_fraud,card_not_present_fraud,250.04,2016-07-04 00:40:19,2016-07-07 15:40:19,Case CC-0028: cardholder C07741 reported unrecognized activity on card C07741-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $250.04 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a SAMSUNG SM-J327T Build/NRD90M on samsung browser 6.2. Card blocked and reissued. Customer reimbursed.
CC-0029,confirmed_fraud,card_not_present_new_device,600.08,2016-07-04 00:43:03,2016-07-06 00:43:03,"Case CC-0029: cardholder C03277 reported unrecognized activity on card C03277-K1. 3 transaction(s) between 2016-07-02 and 2016-07-03 totaling $600.08 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a MacOS on safari generic. Card blocked and reissued. Customer reimbursed."
CC-0030,confirmed_fraud,out_of_region_use,59.01,2016-07-04 00:57:01,2016-07-07 16:57:01,"Case CC-0030: cardholder C04762 reported unrecognized activity on card C04762-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $59.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0031,confirmed_fraud,card_not_present_new_device,20.36,2016-07-04 01:23:36,2016-07-07 22:23:36,"Case CC-0031: cardholder C11923 reported unrecognized activity on card C11923-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $20.36 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a Trident/7.0 on ie 11.0 for desktop. Card blocked and reissued. Customer reimbursed."
CC-0032,cleared,none,0.00,2016-07-04 02:02:25,2016-07-05 22:02:25,Case CC-0032: model scored a $100.01 transaction at 0.85. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0033,confirmed_fraud,account_takeover,374.83,2016-07-04 02:32:22,2016-07-08 23:32:22,Case CC-0033: cardholder C05704 reported unrecognized activity on card C05704-K2. 3 transaction(s) between 2016-07-02 and 2016-07-02 totaling $374.83 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.
CC-0034,cleared,none,0.00,2016-07-04 02:48:44,2016-07-05 00:48:44,"Case CC-0034: model scored a $1,486.49 transaction at 0.89. Cardholder confirmed the purchase. Amount unusual for this customer but consistent with their stated intent. Alert cleared."
CC-0035,confirmed_fraud,card_not_present_fraud,150.05,2016-07-04 03:40:55,2016-07-08 20:40:55,Case CC-0035: cardholder C09196 reported unrecognized activity on card C09196-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $150.05 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.
CC-0036,confirmed_fraud,account_takeover,137.01,2016-07-04 04:15:53,2016-07-06 14:15:53,Case CC-0036: cardholder C03738 reported unrecognized activity on card C03738-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $137.01 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0037,cleared,none,0.00,2016-07-04 04:29:21,2016-07-07 03:29:21,Case CC-0037: model scored a $31.38 transaction at 0.84. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0038,cleared,none,0.00,2016-07-04 05:10:48,2016-07-07 02:10:48,Case CC-0038: model scored a $200.01 transaction at 0.86. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0039,confirmed_fraud,account_takeover,170.93,2016-07-04 05:52:18,2016-07-08 19:52:18,Case CC-0039: cardholder C13061 reported unrecognized activity on card C13061-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $170.93 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0040,cleared,none,0.00,2016-07-04 06:10:07,2016-07-05 03:10:07,Case CC-0040: model scored a $49.97 transaction at 0.90. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0041,confirmed_fraud,out_of_region_use,75.03,2016-07-04 06:39:11,2016-07-07 16:39:11,"Case CC-0041: cardholder C07648 reported unrecognized activity on card C07648-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $75.03 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0042,cleared,none,0.00,2016-07-04 07:37:59,2016-07-05 02:37:59,Case CC-0042: model scored a $49.95 transaction at 0.91. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0043,confirmed_fraud,out_of_region_use,87.01,2016-07-04 08:03:02,2016-07-09 07:03:02,"Case CC-0043: cardholder C10164 reported unrecognized activity on card C10164-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $87.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0044,confirmed_fraud,out_of_region_use,13.33,2016-07-04 09:49:26,2016-07-05 22:49:26,"Case CC-0044: cardholder C06147 reported unrecognized activity on card C06147-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $13.33 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0045,confirmed_fraud,out_of_region_use,1282.82,2016-07-04 10:11:50,2016-07-05 22:11:50,"Case CC-0045: cardholder C07212 reported unrecognized activity on card C07212-K2. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $1,282.82 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0046,confirmed_fraud,card_not_present_new_device,10.04,2016-07-04 10:37:34,2016-07-08 04:37:34,"Case CC-0046: cardholder C01579 reported unrecognized activity on card C01579-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $10.04 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a KFFOWI Build/LVY48F on chrome generic. Card blocked and reissued. Customer reimbursed."
CC-0047,confirmed_fraud,card_not_present_fraud,50.05,2016-07-04 11:05:08,2016-07-08 20:05:08,Case CC-0047: cardholder C03108 reported unrecognized activity on card C03108-K1. 5 transaction(s) between 2016-07-03 and 2016-07-03 totaling $50.05 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a KFFOWI Build/LVY48F on chrome generic. Card blocked and reissued. Customer reimbursed.
CC-0048,confirmed_fraud,card_not_present_fraud,149.96,2016-07-04 11:15:59,2016-07-06 03:15:59,Case CC-0048: cardholder C11309 reported unrecognized activity on card C11309-K1. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $149.96 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a iOS Device on mobile safari 9.0. Card blocked and reissued. Customer reimbursed.
CC-0049,confirmed_fraud,card_not_present_fraud,399.95,2016-07-04 11:25:48,2016-07-07 20:25:48,Case CC-0049: cardholder C01638 reported unrecognized activity on card C01638-K1. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $399.95 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed.
CC-0050,confirmed_fraud,out_of_region_use,48.01,2016-07-04 13:08:31,2016-07-06 01:08:31,"Case CC-0050: cardholder C09221 reported unrecognized activity on card C09221-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $48.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0051,confirmed_fraud,account_takeover,177.02,2016-07-04 14:46:15,2016-07-07 10:46:15,Case CC-0051: cardholder C05976 reported unrecognized activity on card C05976-K1. 2 transaction(s) between 2016-07-04 and 2016-07-04 totaling $177.02 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0052,confirmed_fraud,card_not_present_fraud,52.36,2016-07-04 15:45:08,2016-07-05 20:45:08,Case CC-0052: cardholder C11595 reported unrecognized activity on card C11595-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $52.36 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-0053,confirmed_fraud,out_of_region_use,774.08,2016-07-04 17:06:12,2016-07-06 06:06:12,"Case CC-0053: cardholder C02000 reported unrecognized activity on card C02000-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $774.08 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0054,confirmed_fraud,card_not_present_fraud,60.71,2016-07-04 17:29:18,2016-07-07 20:29:18,Case CC-0054: cardholder C05736 reported unrecognized activity on card C05736-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $60.71 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Y635-L03 Build/HuaweiY635-L03 on chrome 62.0 for android. Card blocked and reissued. Customer reimbursed.
CC-0055,confirmed_fraud,card_not_present_fraud,83.69,2016-07-04 18:17:23,2016-07-06 00:17:23,Case CC-0055: cardholder C04248 reported unrecognized activity on card C04248-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $83.69 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-0056,confirmed_fraud,card_not_present_new_device,40.21,2016-07-04 18:17:38,2016-07-06 15:17:38,"Case CC-0056: cardholder C13171 reported unrecognized activity on card C13171-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $40.21 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed."
CC-0057,confirmed_fraud,account_takeover,108.42,2016-07-04 18:42:19,2016-07-06 02:42:19,Case CC-0057: cardholder C12598 reported unrecognized activity on card C12598-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $108.42 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0058,cleared,none,0.00,2016-07-04 18:53:38,2016-07-05 15:53:38,Case CC-0058: model scored a $99.99 transaction at 0.88. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0059,confirmed_fraud,card_not_present_new_device,185.01,2016-07-04 19:05:35,2016-07-06 23:05:35,"Case CC-0059: cardholder C09165 reported unrecognized activity on card C09165-K2. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $185.01 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed."
CC-0060,confirmed_fraud,card_not_present_fraud,899.98,2016-07-04 19:18:54,2016-07-06 14:18:54,Case CC-0060: cardholder C03348 reported unrecognized activity on card C03348-K1. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $899.98 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.
CC-0061,cleared,none,0.00,2016-07-04 19:51:11,2016-07-06 13:51:11,Case CC-0061: model scored a $99.97 transaction at 0.86. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0062,confirmed_fraud,out_of_region_use,526.98,2016-07-04 20:30:28,2016-07-06 08:30:28,"Case CC-0062: cardholder C07867 reported unrecognized activity on card C07867-K2. 4 transaction(s) between 2016-07-03 and 2016-07-04 totaling $526.98 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0063,confirmed_fraud,account_takeover,2659.62,2016-07-04 20:35:01,2016-07-06 17:35:01,"Case CC-0063: cardholder C11000 reported unrecognized activity on card C11000-K2. 12 transaction(s) between 2016-07-02 and 2016-07-04 totaling $2,659.62 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed."
CC-0064,confirmed_fraud,card_not_present_fraud,450.10,2016-07-04 20:35:05,2016-07-08 18:35:05,Case CC-0064: cardholder C13005 reported unrecognized activity on card C13005-K1. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $450.10 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on chrome 62.0. Card blocked and reissued. Customer reimbursed.
CC-0065,cleared,none,0.00,2016-07-04 20:48:28,2016-07-05 15:48:28,Case CC-0065: model scored a $149.94 transaction at 0.83. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0066,cleared,none,0.00,2016-07-04 20:52:22,2016-07-05 19:52:22,Case CC-0066: model scored a $199.95 transaction at 0.83. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0067,confirmed_fraud,card_not_present_fraud,111.36,2016-07-04 21:00:55,2016-07-09 01:00:55,Case CC-0067: cardholder C11844 reported unrecognized activity on card C11844-K2. 3 transaction(s) between 2016-07-04 and 2016-07-04 totaling $111.36 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Redmi Note 4 Build/MMB29M on chrome 54.0 for android. Card blocked and reissued. Customer reimbursed.
CC-0068,cleared,none,0.00,2016-07-04 22:05:14,2016-07-05 21:05:14,Case CC-0068: model scored a $25.09 transaction at 0.88. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0069,cleared,none,0.00,2016-07-04 22:45:26,2016-07-06 14:45:26,Case CC-0069: model scored a $99.91 transaction at 0.84. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0070,confirmed_fraud,account_takeover,334.94,2016-07-04 22:47:14,2016-07-07 17:47:14,Case CC-0070: cardholder C12166 reported unrecognized activity on card C12166-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $334.94 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0071,confirmed_fraud,card_not_present_new_device,47.19,2016-07-04 23:04:32,2016-07-09 23:04:32,"Case CC-0071: cardholder C13372 reported unrecognized activity on card C13372-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $47.19 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a Windows on chrome 61.0. Card blocked and reissued. Customer reimbursed."
CC-0072,confirmed_fraud,out_of_region_use,150.00,2016-07-04 23:29:45,2016-07-07 21:29:45,"Case CC-0072: cardholder C12111 reported unrecognized activity on card C12111-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $150.00 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0073,confirmed_fraud,card_not_present_new_device,60.78,2016-07-04 23:30:43,2016-07-08 20:30:43,"Case CC-0073: cardholder C04597 reported unrecognized activity on card C04597-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $60.78 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a Y635-L03 Build/HuaweiY635-L03 on chrome 62.0 for android. Card blocked and reissued. Customer reimbursed."
CC-0074,confirmed_fraud,account_takeover,31.92,2016-07-04 23:46:07,2016-07-08 21:46:07,Case CC-0074: cardholder C11496 reported unrecognized activity on card C11496-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $31.92 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0075,confirmed_fraud,card_not_present_fraud,100.07,2016-07-05 00:20:08,2016-07-07 04:20:08,Case CC-0075: cardholder C05385 reported unrecognized activity on card C05385-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $100.07 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Trident/7.0 on ie 11.0 for desktop. Card blocked and reissued. Customer reimbursed.
CC-0076,confirmed_fraud,card_not_present_new_device,299.85,2016-07-05 00:44:38,2016-07-07 20:44:38,"Case CC-0076: cardholder C05289 reported unrecognized activity on card C05289-K2. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $299.85 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed."
CC-0077,cleared,none,0.00,2016-07-05 00:50:31,2016-07-05 22:50:31,Case CC-0077: model scored a $50.05 transaction at 0.90. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0078,confirmed_fraud,card_not_present_new_device,131.31,2016-07-05 01:42:34,2016-07-06 05:42:34,"Case CC-0078: cardholder C00978 reported unrecognized activity on card C00978-K1. 2 transaction(s) between 2016-07-04 and 2016-07-04 totaling $131.31 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed."
CC-0079,confirmed_fraud,account_takeover,188.62,2016-07-05 02:47:36,2016-07-06 22:47:36,Case CC-0079: cardholder C07149 reported unrecognized activity on card C07149-K2. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $188.62 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0080,confirmed_fraud,card_not_present_fraud,29.92,2016-07-05 03:00:33,2016-07-05 21:00:33,Case CC-0080: cardholder C00938 reported unrecognized activity on card C00938-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $29.92 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-0081,confirmed_fraud,card_not_present_fraud,78.86,2016-07-05 03:05:27,2016-07-08 21:05:27,Case CC-0081: cardholder C06940 reported unrecognized activity on card C06940-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $78.86 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on chrome 62.0. Card blocked and reissued. Customer reimbursed.
CC-0082,cleared,none,0.00,2016-07-05 03:09:46,2016-07-06 19:09:46,Case CC-0082: model scored a $489.90 transaction at 0.86. Cardholder confirmed travel to the billing region in question. Alert cleared.
