device_key,device_info,os,browser,screen,is_new_flag
63f7b07ab899,LG-K500 Build/MMB29M,,chrome 62.0 for android,,New
30224d7846d8,Moto C Build/NRD90M.063,,chrome 62.0 for android,,New
692f5391efdc,SM-J700M Build/MMB29K,,chrome 61.0 for android,,Found
112fca0197be,BLL-L23 Build/HUAWEIBLL-L23,,chrome 62.0 for android,,New
d3ea8557679e,KYOCERA-C6742A Build/LMY47V,Android 5.1.1,chrome generic,960x540,New
0aaf8ce349fa,SM-T700 Build/MMB29K,,chrome 62.0 for android,,New
800eb72abd87,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android,,Found
a958a46e9809,KYOCERA-C6742A Build/LMY47V,Android 5.1.1,chrome generic,960x540,Found
1c81c21a1c24,iOS Device,iOS 11.1.1,mobile safari 11.0,1334x750,Found
979d4fcc16b8,SM-G920V Build/NRD90M,Android 7.0,chrome 56.0 for android,2560x1440,Found
97727cb4bc87,iOS Device,iOS 11.1.1,mobile safari 11.0,1334x750,New
7eaac7fbb909,VS500,Android 7.0,android webview 4.0,1280x720,New
2cc223b12e98,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600,Found
e02afea40508,Moto E (4) Build/NMA26.42-19,,chrome generic,,New
9637c581f8d5,SAMSUNG,,samsung browser 6.2,,New
997a35d4e74f,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600,New
7938ea0e8c05,Ilium L910 Build/MRA58K,,chrome 62.0 for android,,New
e7c341806f71,SM-J700M Build/MMB29K,,chrome 62.0 for android,,New
6a2959aa2bde,LG-H420 Build/LRX21Y,,other,,New
f22800403edf,XT1032 Build/LPBS23.13-56-2,,chrome 55.0 for android,,Found
95d5033e688a,,,chrome 49.0,,New
22ea036e3795,SM-G531H Build/LMY48B,,chrome 62.0 for android,,New
9791a8038fa5,GT-I9060M Build/KTU84P,,chrome 62.0 for android,,New
9e935b860f23,,,chrome 49.0,,Found
b644cefac2df,,,chrome 49.0,,Found
139f90bfed19,SM-J700M Build/MMB29K,,chrome 61.0 for android,,New
2a2da7e0d63a,LGMP260 Build/NRD90U,Android 7.0,chrome 61.0 for android,1280x720,Found
9d43d00cd5fb,SM-E500M Build/KTU84P,,chrome 62.0 for android,,Found
daac9f1d9e75,TA-1003,,chrome 62.0 for android,,New
a029803436d6,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,Found
078411e15f28,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,Found
25b4c4206e47,iOS Device,iOS 11.1.2,mobile safari generic,1334x750,New
18d29fe099ec,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,Found
35821c72ac4e,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,New
d1fd07b9a69f,VS988 Build/NRD90U,Android 7.0,chrome 62.0 for android,2672x1440,New
3cc02e0f6cb8,Windows NT 6.1,,ie,,Found
adec4ffdd9c3,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,Found
36cc6991ae71,Windows NT 6.1,Windows 7,ie,1920x1080,Found
2da1babbe7d6,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,New
056919ee72aa,SAMSUNG SM-J327T Build/NRD90M,Android 7.0,samsung browser 6.2,1280x720,Found
ee23125d9315,SM-A710M Build/LMY47X,,chrome 60.0 for android,,New
c5a060535f48,SM-G532M Build/MMB29T,,Samsung/SM-G532M,,New
cefad8bbbadc,Moto G Play Build/MPIS24.241-15.3-26,,chrome 62.0 for android,,New
662ff6088a77,Nexus 6P Build/OPR5.170623.011,Android 8.0.0,,2562x1442,New
74340fe7228d,SM-J510MN Build/MMB29M,,chrome 62.0 for android,,New
4e40780437c2,iOS Device,iOS 11.1.2,mobile safari 11.0,1136x640,New
ba80b707f891,SM-G935F Build/NRD90M,,chrome 62.0 for android,,Found
058968ddabc2,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,New
58c705c537ab,VS988 Build/NRD90U,Android 7.0,chrome 62.0 for android,2672x1440,Found
6f65d9500e3d,SM-G935F Build/MMB29K,,chrome 62.0 for android,,New
8264569aa7c9,Windows,Windows 7,chrome 62.0,1440x900,Found
2750508cec65,LG-X180g Build/LMY47I,,chrome 46.0 for android,,New
1fd51c7382d8,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,New
29855d266067,SM-G925P Build/NRD90M,,chrome 56.0 for android,,Found
a81ee40129da,es-us,,android webview 4.0,,Unknown
b59f271f0017,SM-A300H Build/LRX22G,,chrome 62.0 for android,,New
c04467efde20,SAMSUNG SM-T810 Build/NRD90M,,samsung browser 6.2,,Found
c409b22b8592,Moto E (4) Plus Build/NMA26.42-69,,chrome generic,,New
ba5f9cb29c93,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,Found
40bf2e101480,LG-TP450 Build/NRD90U,,chrome 60.0 for android,,Found
f86da54c36d5,SM-G930P Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,New
9c0ffbd11874,KFASWI Build/LVY48F,Android 5.1.1,chrome generic,,Found
f4211060e98d,GT-I9060M Build/KTU84P,,chrome 60.0 for android,,New
35fb653494f0,Windows,Windows 7,chrome 62.0,1920x1200,Found
8da924a54d7d,SAMSUNG SM-N910A Build/MMB29M,Android 6.0.1,samsung browser 6.2,2560x1440,Found
425cba6298e2,ALE-L23 Build/HuaweiALE-L23,,chrome 62.0 for android,,New
a19898981ebd,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600,Found
1abcb4112fa7,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600,Found
9a8392b414b2,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600,Found
5151e48136cb,SM-G925W8,,chrome 62.0 for android,,New
d63fa0ee2a90,SAMSUNG-SM-G930A Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,New
29d9918d64f9,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,New
7a8838581d20,Y635-L03 Build/HuaweiY635-L03,,chrome 62.0 for android,,Found
27abedd516d6,SM-J200M Build/LMY47X,,chrome 62.0 for android,,New
fbf63bc49c4a,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,Found
c71059c44f74,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,Found
fcf95eac0421,BLADE V8 SE Build/NRD90M,,chrome 62.0 for android,,Found
390f090f75d8,7055A Build/KVT49L,,chrome 62.0 for android,,Found
cfdda47b2010,SM-N920T Build/NRD90M,Android 7.0,chrome 62.0 for android,,Found
cc89f7af1f5d,Windows,Windows 7,chrome 62.0,1920x1080,Found
fdc6f274d4a3,SM-N950U Build/NMF26X,Android 7.1.1,chrome 62.0 for android,,Found
3eba0738a111,SM-T810 Build/NRD90M,Android 7.0,chrome 62.0 for android,2048x1536,New
3c67614ac9fa,iOS Device,iOS 11.1.2,mobile safari 11.0,2001x1125,New
b5f56ae9e9f6,SM-G950U1 Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,Found
8315759c5b60,SAMSUNG,,chrome generic,,New
860e739e09dd,SM-G950U1 Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,Found
192bc6083dd3,SM-G950U1 Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,New
551b8a5c93ff,SM-G950U1 Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,Found
9c2b6f064984,SAMSUNG SM-G920A Build/NRD90M,Android 7.0,samsung browser 6.2,2560x1440,New
d6c73bceaeee,SM-G950U1 Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,Found
2e4ecfdc0a19,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,New
56dad6bc626c,SM-J700M Build/MMB29K,,chrome 62.0 for android,,Found
dc1eec208f7c,SM-J700M Build/MMB29K,,chrome 62.0 for android,,Found
76c9d511b1df,HTC Desire 650 Build/MMB29M,,chrome 60.0 for android,,New
72a606474b52,SM-J700M Build/MMB29K,,chrome 62.0 for android,,Found
98114f42367b,Pixel Build/OPR3.170623.013,Android 8.0.0,,,New
ad6f14c3ceb8,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,New
03e056a7ebe1,SM-G930T Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,New
d2831a8b3687,SAMSUNG SM-G892A Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,New
b384d616e7ec,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,Found
d81265111e5c,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,New
fb87dbec4b29,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,Found
71d6247dc298,iOS Device,iOS 11.0.3,mobile safari generic,1334x750,Found
95b669a24071,SM-J120H Build/LMY47V,,chrome 61.0 for android,,Found
5ac2e70f4f47,SM-A300H Build/LRX22G,,chrome 62.0 for android,,New
4b98b3b11492,Moto G (4) Build/NPJS25.93-14-10,,chrome generic,,Found
112976760e80,Redmi Note 4 Build/MMB29M,,chrome 54.0 for android,,Found
0ed016dcb70b,Moto G (5) Build/NPP25.137-72,,chrome generic,,New
86d163c4441d,KFGIWI Build/LVY48F,Android 5.1.1,chrome generic,,New
53475d31165e,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,New
2de8533a5149,Redmi Note 4 Build/MMB29M,,chrome 54.0 for android,,Found
e9b06089b61b,Z970,Android,chrome 56.0 for android,1280x720,New
cff57ae903c3,Redmi Note 4 Build/MMB29M,,chrome 54.0 for android,,Found
60b5297b29d7,Windows,Windows Vista,chrome 49.0,1440x900,New
79219a4db607,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,Found
b78af8cb1b00,SM-J700M Build/MMB29K,,chrome 62.0 for android,,New
9fe32a5d78f3,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,New
f25efcc29311,MacOS,Mac OS X 10_12_1,chrome 62.0,1280x720,Found
742f6fe22ef9,Lenovo PB1-750M Build/S100,,chrome 62.0 for android,,Found
3fbe831b1bd6,MacOS,Mac OS X 10_12_1,chrome 62.0,1280x720,Found
fd0ee63596ae,LG-D373 Build/KOT49I.V10a,,chrome 61.0 for android,,New
8563001e64e5,SM-P550 Build/MMB29M,,chrome 62.0 for android,,New
70d2725a5455,LGMP260 Build/NRD90U,Android 7.0,chrome 62.0 for android,1280x720,New
df5b7df50579,SM-G935F Build/NRD90M,,chrome 62.0 for android,,New
815c94600354,LGMP260 Build/NRD90U,Android 7.0,chrome 62.0 for android,1280x720,Found
71a9f59f4ae6,LGMP260 Build/NRD90U,Android 7.0,chrome 62.0 for android,1280x720,Found
fae95a004872,Moto G (5) Plus Build/NPNS25.137-15-11,,chrome generic,,New
255f986ea8db,M4 SS4457 Build/MRA58K,,chrome 62.0 for android,,New
2f111a06ae02,SAMSUNG SM-G935F Build/NRD90M,,samsung browser 6.2,,Found
bbbaca2ac540,FRD-L04 Build/HUAWEIFRD-L04,Android 7.0,chrome 62.0 for android,1920x1080,Found
c87b51f28d2b,REX,,chrome 61.0 for android,,New
c2bb0b8f03da,SM-G610M Build/MMB29K,,chrome 59.0 for android,,Found
4120adab085b,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,New
a757b00f314d,Pixel Build/OPR3.170623.013,Android 8.0.0,,,Found
b7dabd84ffb9,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2960x1440,Found
db61a3524eca,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,New
2628aab12e83,Ilium LT510 Build/MRA58K,,chrome 60.0 for android,,Found
13131c07d732,Ilium LT510 Build/MRA58K,,chrome 60.0 for android,,Found
07edcd75abad,SM-J320M Build/LMY47V,,chrome 62.0 for android,,Found
b879af8b19f2,SM-J700M Build/MMB29K,,chrome 62.0 for android,,Found
dc32f074731e,SM-G930U Build/NRD90M,,chrome 62.0 for android,,Found
ed3d4c6bbc5a,CAM-L03 Build/HUAWEICAM-L03,,chrome 62.0 for android,,Found
4aa402d2d8e4,SAMSUNG-SM-G891A Build/NRD90M,Android 7.0,chrome 62.0 for android,,Found
aee0505f35e6,Moto G (4) Build/NPJS25.93-14-10,,chrome generic,,New
fcb442717108,SM-G530T,Android 5.1.1,chrome 62.0 for android,960x540,Found
e2501bea4302,Z983 Build/NMF26F,Android 7.1.1,chrome 62.0 for android,1920x1080,Found
cafe7ce26bf2,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,Found
ed460eb39148,SM-G900V Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1920x1080,New
31fc90534c59,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,New
ec2d164fd0d1,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,New
cbb28306fa29,KFSAWI,Android 5.1.1,chrome generic,2560x1600,Found
ce08f19092c7,SM-J320M Build/LMY47V,,chrome 62.0 for android,,Found
57b6ffece177,Trident/7.0,Windows 7,ie 11.0 for desktop,1440x900,Found
9090046dc13a,Edison,,chrome 62.0 for android,,Unknown
faa580f8be8b,Windows,Windows 7,chrome 62.0,1920x1080,New
e43e80d21e26,Windows,Windows 7,chrome 62.0,1920x1080,Found
0f58d343c297,SM-G900H Build/MMB29K,,chrome 60.0 for android,,New
d32e72c71c80,TRT-L53 Build/HUAWEITRT-L53,,chrome 62.0 for android,,New
05ea4cb000fb,iOS Device,iOS 11.1.2,mobile safari generic,1334x750,Found
31850e183d15,iOS Device,iOS 11.1.2,mobile safari generic,2208x1242,New
e7db459a99a1,iOS Device,iOS 11.2.0,mobile safari 11.0,2048x1536,Found
42a87df1724a,iOS Device,iOS 11.1.2,mobile safari generic,1136x640,New
151e12a5959d,iOS Device,iOS 11.2.0,mobile safari 11.0,2048x1536,New
38f1cd2ce652,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,Found
00aeabfe8b0c,SM-G935P Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,Found
7b85f9a408e7,Windows,Windows 7,chrome 62.0,1920x1080,Found
d3a981e943b1,GT-P5113,Android,chrome 62.0 for android,1280x800,New
fc2e1b1eee33,SM-G930P Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,Found
934647fe1f11,SM-G935V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,Found
d3af9e684217,SM-G935V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,Found
047ac64fabd6,SM-G928V Build/NRD90M,Android 7.0,chrome 62.0 for android,,Found
469436862656,Windows NT 6.1,Windows 7,ie,1920x1080,Found
4e5283c7382d,SM-G900T Build/MMB29M,,chrome 62.0 for android,,Found
6e4408d3a3e8,SM-G920V Build/NRD90M,Android 7.0,chrome 62.0 for android,2560x1440,New
1fb8199f1a1a,SM-G610M Build/MMB29K,,chrome 62.0 for android,,New
9adcb781392c,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600,New
703506370648,Ilium LT500 Build/LMY47O,,chrome 60.0 for android,,New
3136254e34b6,SM-G900V Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1920x1080,Found
d02c97567db2,SM-G955F Build/NRD90M,,chrome 62.0 for android,,Found
1580dff6dcee,iOS Device,iOS 11.1.1,mobile safari 11.0,2001x1125,New
a15e0c58959c,M4 SS4451 Build/LMY47D,,chrome 61.0 for android,,New
8224ed795084,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,Found
c7f932629c49,SAMSUNG SM-J727T1 Build/NRD90M,Android 7.0,samsung browser 5.4,1280x720,New
52ab7c16b1c6,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,Found
70af77fb9bf3,iOS Device,iOS 11.0.3,mobile safari 11.0,2001x1125,Found
226d07d9a9e9,Y635-L03 Build/HuaweiY635-L03,,chrome 62.0 for android,,New
f7285bbdfeeb,KFGIWI Build/LVY48F,Android 5.1.1,chrome generic,,Found
36a78d714d3b,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,,New
1ffe4642c475,Moto Z (2,Android 7.1.1,chrome generic,2560x1440,New
4ea402a9c9ca,Moto Z (2,Android 7.1.1,chrome generic,2560x1440,Found
22158440ea53,Pixel,,chrome 62.0 for android,,New
ee1c7acf3c41,HUAWEI VNS-L23 Build/HUAWEIVNS-L23,,chrome 62.0 for android,,Found
506918ccb493,MacOS,Mac OS X 10_12_6,safari generic,5120x2880,Found
fcf983d9b3d2,SAMSUNG SM-J327T Build/NRD90M,Android 7.0,samsung browser 6.2,1280x720,Found
f01eb5ad3ce9,SAMSUNG SM-J327T Build/NRD90M,Android 7.0,samsung browser 6.2,1280x720,Found
68341bfacd8b,,Linux,chrome 62.0,,Found
ddb1946a1e83,SM-N910V Build/MMB29M,Android 6.0.1,chrome 62.0 for android,2560x1440,New
8705550e1dfd,SM-G610M Build/MMB29K,,chrome 62.0 for android,,New
71acb801ee7f,SAMSUNG-SM-T337A Build/LMY47X,Android 5.1.1,chrome 62.0 for android,,Found
306cdd29428f,SM-G935F Build/NRD90M,,chrome 62.0 for android,,New
1ee0a2d7b22e,Pixel Build/OPR3.170623.013,Android 8.0.0,,,New
a0502ef63c45,SM-J730G Build/NRD90M,,chrome 62.0 for android,,Found
bd9fefa260c5,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,New
58d0a7db162c,SAMSUNG SM-S727VL Build/MMB29M,Android 6.0.1,samsung browser 4.0,1280x720,New
4d0c6e760c5b,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2960x1440,Found
9acd58379e3d,SM-J700M Build/MMB29K,,chrome 62.0 for android,,New
2cf66d9e1e24,,Android,chrome 62.0,2560x1440,Found
978eb1e15ce0,iOS Device,iOS 11.0.3,mobile safari 11.0,2048x1536,New
285a0b5bf1b0,LG-D680 Build/KOT49I,,chrome 62.0 for android,,New
52ab55068031,XT1565,Android 6.0.1,chrome 62.0 for android,1920x1080,New
8bd6efb15852,LG-D680 Build/KOT49I,,chrome 62.0 for android,,Found
595caf191d51,LG-D680 Build/KOT49I,,chrome 62.0 for android,,Found
15f6cc8309c6,LT22i Build/6.2.A.1.100,,chrome 62.0 for android,,New
e21742b49bc1,KFASWI Build/LVY48F,Android 5.1.1,chrome generic,,New
ce5a89d90b84,LG-D680 Build/KOT49I,,chrome 62.0 for android,,Found
2c35d8b7640d,,Linux,chrome 62.0,,Found
f5be38459295,LG-H872 Build/NRD90U,Android 7.0,chrome 62.0 for android,2672x1440,New
aad67ace5647,LG-D680 Build/KOT49I,,chrome 62.0 for android,,Found
83eff4f31837,LG-D680 Build/KOT49I,,chrome 62.0 for android,,Found
7ddab7fcc748,LG-D680 Build/KOT49I,,chrome 62.0 for android,,Found
0b860ea9935f,LG-H500 Build/LRX21Y,,chrome 61.0 for android,,New
8de4de267e1a,SM-A720F Build/MMB29K,,chrome 62.0 for android,,New
9d4d4d1d2062,iOS Device,iOS 11.0.0,mobile safari 11.0,1136x640,New
8542e9f6cc80,Moto G (5) Build/NPP25.137-72,,chrome generic,,New
ba8c5a2c43b9,WAS-LX3 Build/HUAWEIWAS-LX3,,chrome 62.0 for android,,Found
7dc2479343e4,LG-H500 Build/LRX21Y,,chrome 61.0 for android,,Found
0bc65a29a1cb,,Android,chrome 61.0,1280x720,Found
0a0673704b7c,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,New
4db2b6f6cee9,MotoG3 Build/MPIS24.65-33.1-2-16,,chrome 62.0 for android,,Found
6c62754ed885,LG-H500 Build/LRX21Y,,chrome 61.0 for android,,Found
351ebe485b21,R8106,,chrome 62.0 for android,,New
b6009194e680,SM-G925I Build/MMB29K,,chrome 62.0 for android,,Found
8b435e1e856e,SM-J700M Build/MMB29K,,chrome 62.0 for android,,New
665fa0b4d9d0,LG-H500 Build/LRX21Y,,chrome 61.0 for android,,Found
0c1c0d474b10,M4 SS4451 Build/LMY47D,,chrome,,New
2c81c6836a5a,SM-J120H Build/LMY47V,,chrome 61.0 for android,,Found
1aa088b82db8,MotoE2(4G-LTE,,chrome generic,,New
de7b9c2cf65d,SM-G935F Build/NRD90M,,chrome 62.0 for android,,New
47b0ee268802,SM-T113NU Build/KTU84P,,chrome 62.0 for android,,New
08ad91d87aaf,Windows NT 6.2,,ie,,New
a503028132ea,SAMSUNG-SM-G870A Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1920x1080,Found
34a7367dbb69,SM-G900P Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1920x1080,Found
