card_id,card_network,card_type
C04834-K1,mastercard,debit
C08635-K1,visa,debit
C03488-K1,mastercard,credit
C03488-K2,,
C11005-K1,visa,credit
C02764-K1,visa,debit
C13259-K1,visa,credit
C11059-K1,visa,debit
C10585-K1,visa,credit
C10585-K2,,
C05115-K1,visa,credit
C05115-K2,,
C13516-K1,mastercard,debit
C13516-K2,mastercard,debit
C03667-K1,mastercard,debit
C04709-K1,mastercard,debit
C04709-K2,,
C11702-K1,mastercard,credit
C01010-K1,visa,debit
C09657-K1,visa,credit
C09657-K2,,
C13354-K1,visa,debit
C13354-K2,,
C07215-K1,visa,credit
C06348-K1,visa,debit
C01110-K1,visa,debit
C01061-K1,visa,debit
C09820-K1,visa,debit
C09820-K2,,
C05171-K1,mastercard,debit
C09420-K1,visa,debit
C09420-K2,,
C11583-K1,visa,debit
C11906-K1,visa,debit
C12652-K1,visa,debit
C00059-K1,visa,debit
C00059-K2,,
C01286-K1,american express,credit
C11852-K1,mastercard,credit
C12981-K1,visa,debit
C07335-K1,visa,debit
C07335-K2,,
C04062-K1,mastercard,debit
C11176-K1,visa,debit
C00089-K1,mastercard,debit
C00089-K2,mastercard,debit
C05448-K1,visa,debit
C05448-K2,,
C06327-K1,american express,credit
C04525-K1,visa,debit
C10320-K1,visa,credit
C11768-K1,mastercard,debit
C02566-K1,american express,debit
C10900-K1,mastercard,credit
C11701-K1,mastercard,credit
C02646-K1,visa,credit
C04764-K1,american express,credit
C02930-K1,mastercard,debit
C11216-K1,mastercard,debit
C11216-K2,,
C07149-K1,visa,debit
C07149-K2,,
C09354-K1,mastercard,credit
C01248-K1,visa,debit
C03651-K1,mastercard,debit
C03651-K2,,
C03722-K1,mastercard,debit
C07741-K1,mastercard,debit
C07741-K2,,
C04701-K1,mastercard,debit
C04701-K2,mastercard,debit
C07997-K1,visa,credit
C01942-K1,mastercard,debit
C10006-K1,mastercard,debit
C03204-K1,mastercard,debit
C03204-K2,mastercard,debit
C08695-K1,visa,debit
C08695-K2,,
C08775-K1,american express,credit
C09191-K1,visa,debit
C13053-K1,mastercard,credit
C08542-K1,visa,debit
C11687-K1,visa,debit
C11687-K2,,
C03839-K1,mastercard,debit
C09087-K1,visa,debit
C07276-K1,visa,credit
C08321-K1,visa,debit
C08321-K2,,
C13346-K1,mastercard,debit
C11494-K1,visa,debit
C07889-K1,visa,credit
C04408-K1,visa,debit
C02346-K1,visa,debit
C03411-K1,visa,debit
C03411-K2,,
C01337-K1,mastercard,debit
C01337-K2,,
C09650-K1,american express,credit
C01988-K1,visa,debit
C04118-K1,mastercard,debit
C04118-K2,,
C00195-K1,visa,debit
C03670-K1,visa,debit
C06845-K1,visa,debit
C05318-K1,mastercard,debit
C05318-K2,,
C05164-K1,visa,debit
C12097-K1,mastercard,debit
C08597-K1,mastercard,debit
C08597-K2,,
C04112-K1,american express,credit
C12003-K1,visa,debit
C06658-K1,mastercard,credit
C07906-K1,visa,debit
C04285-K1,visa,debit
C12542-K1,mastercard,debit
C00409-K1,visa,debit
C00101-K1,mastercard,debit
C02456-K1,mastercard,credit
C12060-K1,visa,debit
C02094-K1,visa,credit
C10915-K1,mastercard,debit
C13542-K1,mastercard,debit
C08622-K1,visa,debit
C09261-K1,mastercard,debit
C11441-K1,visa,debit
C01735-K1,visa,debit
C05129-K1,mastercard,debit
C05129-K2,mastercard,debit
C11257-K1,visa,debit
C07076-K1,mastercard,credit
C10760-K1,visa,debit
C10760-K2,,
C03787-K1,visa,debit
C13337-K1,visa,debit
C05011-K1,visa,debit
C08422-K1,mastercard,debit
C10752-K1,visa,debit
C11533-K1,visa,debit
C11533-K2,,
C11662-K1,american express,credit
C06552-K1,visa,debit
C06552-K2,,
C06800-K1,visa,debit
C00642-K1,visa,debit
C00642-K2,,
C04352-K1,mastercard,credit
C01706-K1,mastercard,debit
C03532-K1,mastercard,debit
C03532-K2,,
C05120-K1,visa,debit
C05120-K2,visa,debit
C10873-K1,visa,debit
C07847-K1,visa,debit
C07847-K2,,
C08460-K1,mastercard,debit
C10386-K1,mastercard,debit
C04157-K1,american express,credit
C13328-K1,visa,credit
C01855-K1,mastercard,credit
C01855-K2,,
C09064-K1,discover,debit
C03201-K1,visa,credit
C09274-K1,visa,credit
C04248-K1,mastercard,credit
C04248-K2,,
C06388-K1,visa,debit
C12321-K1,american express,credit
C04548-K1,visa,debit
C07336-K1,visa,credit
C09608-K1,visa,debit
C00509-K1,visa,debit
C03299-K1,visa,debit
C03299-K2,,
C11319-K1,american express,credit
C10946-K1,,debit
C07954-K1,mastercard,debit
C00522-K1,visa,debit
C03042-K1,mastercard,credit
C12626-K1,visa,credit
C12626-K2,,
C05576-K1,mastercard,debit
C11362-K1,mastercard,debit
C11362-K2,,
C13117-K1,mastercard,debit
C06840-K1,mastercard,debit
C06840-K2,mastercard,credit
C06840-K3,mastercard,credit
C02708-K1,mastercard,debit
C05393-K1,visa,debit
C13408-K1,visa,debit
C01782-K1,discover,credit
C01782-K2,discover,credit
C01782-K3,discover,credit
C01782-K4,,
C08780-K1,mastercard,credit
C00779-K1,visa,debit
C09795-K1,mastercard,debit
C09795-K2,mastercard,debit
C06681-K1,mastercard,debit
C10015-K1,mastercard,credit
C03933-K1,visa,debit
C11872-K1,visa,debit
C00081-K1,visa,debit
C00081-K2,,
C03696-K1,visa,debit
C11726-K1,visa,debit
C10365-K1,visa,debit
C12826-K1,mastercard,debit
C12826-K2,mastercard,debit
C08240-K1,mastercard,debit
C01002-K1,mastercard,credit
C05820-K1,mastercard,debit
C03449-K1,american express,credit
C09733-K1,visa,debit
C07626-K1,mastercard,credit
C07626-K2,,
C02780-K1,visa,debit
C02780-K2,,
C06873-K1,visa,debit
C06438-K1,mastercard,debit
C04281-K1,american express,credit
C10227-K1,visa,debit
C01661-K1,mastercard,debit
C00386-K1,visa,credit
C03061-K1,mastercard,debit
C03061-K2,,
C06306-K1,visa,debit
C00543-K1,visa,credit
C08875-K1,mastercard,debit
C02112-K1,mastercard,debit
C13486-K1,visa,debit
C13486-K2,,
C03024-K1,mastercard,debit
C03024-K2,mastercard,debit
C00704-K1,mastercard,credit
C11479-K1,visa,debit
C09742-K1,visa,credit
C09742-K2,visa,credit
C09742-K3,,
C10949-K1,mastercard,debit
C09289-K1,visa,debit
C11590-K1,visa,credit
C10922-K1,mastercard,debit
C10922-K2,,
C01979-K1,visa,debit
C10998-K1,american express,credit
C13015-K1,visa,debit
C13015-K2,,
C09362-K1,visa,debit
C00213-K1,visa,debit
C05289-K1,mastercard,credit
C05289-K2,,
C06683-K1,visa,debit
C04075-K1,mastercard,debit
C13512-K1,mastercard,debit
C07641-K1,mastercard,debit
C11509-K1,mastercard,debit
C11509-K2,,
C12289-K1,visa,debit
C01390-K1,visa,debit
C12796-K1,discover,credit
C12796-K2,discover,credit
C12796-K3,discover,credit
C12841-K1,mastercard,debit
C08447-K1,visa,debit
C08719-K1,mastercard,credit
C01119-K1,visa,debit
C01119-K2,,
C09365-K1,mastercard,debit
C09365-K2,,
C04025-K1,visa,debit
C11489-K1,visa,debit
C03085-K1,visa,debit
C09791-K1,mastercard,credit
C06220-K1,visa,credit
C12712-K1,visa,debit
C02740-K1,visa,debit
C06190-K1,visa,credit
C11543-K1,visa,debit
C11543-K2,,
C08219-K1,visa,debit
C04083-K1,visa,debit
C02962-K1,mastercard,credit
C05542-K1,visa,debit
C06940-K1,visa,credit
C00067-K1,visa,debit
C06644-K1,mastercard,debit
C02198-K1,visa,credit
C09902-K1,mastercard,debit
C09902-K2,,
C05969-K1,visa,debit
C12852-K1,visa,debit
C05327-K1,visa,debit
C01296-K1,mastercard,debit
C02398-K1,visa,debit
C01618-K1,mastercard,debit
C01618-K2,mastercard,debit
C01618-K3,,
C13227-K1,visa,debit
C09710-K1,american express,credit
C00854-K1,mastercard,credit
C00854-K2,,
C04288-K1,mastercard,debit
C13054-K1,visa,debit
C07987-K1,visa,credit
C07987-K2,,
C12166-K1,visa,debit
C12166-K2,,
C02855-K1,visa,credit
C06224-K1,visa,credit
C06224-K2,,
C06031-K1,mastercard,debit
C06031-K2,mastercard,debit
C06031-K3,,
C02897-K1,visa,debit
C04030-K1,visa,debit
C11045-K1,visa,debit
C02076-K1,mastercard,debit
C09933-K1,visa,debit
C09933-K2,,
C03427-K1,mastercard,debit
C03427-K2,mastercard,debit
C03427-K3,,
C01860-K1,mastercard,debit
C05259-K1,mastercard,debit
C10469-K1,visa,debit
C10570-K1,mastercard,debit
C11973-K1,visa,credit
C11380-K1,mastercard,debit
C01818-K1,mastercard,debit
C01818-K2,mastercard,debit
C03549-K1,visa,debit
C11249-K1,visa,debit
C04500-K1,mastercard,debit
C04500-K2,,
C01776-K1,visa,debit
C05061-K1,visa,credit
C12519-K1,visa,debit
C10968-K1,visa,credit
C10849-K1,american express,credit
C02437-K1,visa,debit
C05332-K1,visa,credit
C05332-K2,visa,credit
C05973-K1,visa,debit
C04434-K1,visa,debit
C09911-K1,visa,debit
C13290-K1,mastercard,credit
C00249-K1,visa,debit
C13114-K1,visa,debit
C08461-K1,mastercard,debit
C10383-K1,mastercard,debit
C10383-K2,mastercard,debit
C10383-K3,,
C04186-K1,visa,debit
C07608-K1,visa,credit
C00382-K1,american express,credit
C09560-K1,visa,debit
C02867-K1,mastercard,debit
C08872-K1,visa,debit
C10507-K1,mastercard,debit
C10507-K2,mastercard,debit
C10507-K3,,
C04983-K1,visa,credit
C03738-K1,visa,debit
C03738-K2,,
C05513-K1,visa,debit
C05513-K2,,
C07581-K1,visa,debit
C06705-K1,mastercard,debit
C10562-K1,mastercard,debit
C10562-K2,,
C08709-K1,visa,debit
C06208-K1,mastercard,credit
C00594-K1,visa,credit
C09579-K1,visa,credit
C09579-K2,,
C02516-K1,visa,credit
C01387-K1,visa,debit
C11781-K1,mastercard,debit
C11781-K2,mastercard,debit
C10112-K1,american express,credit
C01864-K1,mastercard,credit
C09826-K1,mastercard,debit
C11010-K1,visa,debit
C10575-K1,visa,credit
C10599-K1,visa,debit
C02321-K1,visa,debit
C02321-K2,,
C10326-K1,visa,debit
C02765-K1,mastercard,debit
C06331-K1,visa,debit
C06331-K2,,
C01509-K1,visa,credit
C10927-K1,mastercard,debit
C02132-K1,visa,credit
C11545-K1,mastercard,credit
C07845-K1,visa,debit
C07845-K2,,
C04957-K1,visa,debit
C06631-K1,visa,debit
C05459-K1,mastercard,debit
C05459-K2,,
C08112-K1,mastercard,credit
C08112-K2,,
C09251-K1,visa,debit
C01977-K1,mastercard,debit
C04708-K1,visa,credit
C08793-K1,visa,debit
C00189-K1,mastercard,debit
C00189-K2,mastercard,debit
C05924-K1,visa,credit
C00426-K1,mastercard,credit
C00426-K2,,
C00803-K1,mastercard,debit
C00803-K2,mastercard,debit
C05551-K1,visa,debit
C05551-K2,,
C00915-K1,mastercard,debit
C00915-K2,,
C09556-K1,visa,debit
C11140-K1,visa,debit
C11140-K2,,
C08127-K1,mastercard,debit
C12602-K1,visa,credit
C01222-K1,visa,debit
C12512-K1,mastercard,debit
C09454-K1,visa,debit
C03125-K1,mastercard,debit
C03125-K2,,
C08420-K1,visa,debit
C10025-K1,visa,debit
C07681-K1,visa,debit
C10045-K1,mastercard,credit
C13349-K1,visa,credit
C13349-K2,,
C03341-K1,mastercard,debit
C03341-K2,,
C05142-K1,visa,debit
C08921-K1,visa,debit
C04393-K1,visa,debit
C08847-K1,visa,debit
C08281-K1,visa,credit
C08281-K2,visa,credit
C08281-K3,,
C10244-K1,visa,debit
C11496-K1,visa,debit
C11496-K2,,
C07398-K1,mastercard,debit
C07398-K2,mastercard,debit
C12238-K1,visa,debit
C01138-K1,visa,debit
C01138-K2,,
C02776-K1,mastercard,credit
C02776-K2,mastercard,credit
C09868-K1,mastercard,credit
C09868-K2,mastercard,credit
C03246-K1,visa,credit
C01289-K1,mastercard,debit
C01289-K2,mastercard,debit
C13196-K1,visa,debit
C13196-K2,visa,debit
C11970-K1,visa,debit
C04007-K1,mastercard,debit
C02365-K1,visa,debit
C10433-K1,mastercard,debit
C03108-K1,mastercard,debit
C03108-K2,mastercard,debit
C04004-K1,mastercard,credit
C04004-K2,mastercard,credit
C03786-K1,visa,debit
C03786-K2,visa,debit
C01579-K1,mastercard,debit
C01596-K1,visa,debit
C01596-K2,,
C07065-K1,mastercard,credit
C07065-K2,mastercard,debit
C02525-K1,visa,debit
C00978-K1,mastercard,credit
C11788-K1,visa,credit
C08288-K1,visa,debit
C00395-K1,american express,credit
C04746-K1,mastercard,debit
C07644-K1,visa,debit
C05753-K1,mastercard,credit
C04406-K1,mastercard,credit
C02502-K1,mastercard,debit
C02502-K2,,
C03967-K1,mastercard,debit
C07508-K1,mastercard,credit
C07508-K2,,
C03862-K1,mastercard,debit
C01036-K1,mastercard,debit
C10176-K1,visa,debit
C00849-K1,visa,credit
C02280-K1,american express,credit
C03910-K1,visa,debit
C08466-K1,visa,credit
C08466-K2,visa,credit
C10924-K1,visa,debit
C10924-K2,,
C13456-K1,mastercard,credit
C06947-K1,visa,credit
C06947-K2,,
C03867-K1,visa,credit
C13413-K1,visa,credit
C05932-K1,mastercard,debit
C10164-K1,mastercard,debit
C06194-K1,visa,debit
C06194-K2,visa,debit
C11181-K1,mastercard,debit
C05540-K1,mastercard,debit
C05540-K2,mastercard,debit
C02294-K1,mastercard,debit
C03669-K1,mastercard,debit
C05808-K1,american express,credit
C12397-K1,visa,debit
C03757-K1,visa,debit
C04305-K1,mastercard,debit
C08494-K1,american express,credit
C07868-K1,visa,debit
C04016-K1,visa,debit
C02673-K1,visa,debit
C02673-K2,,
C04346-K1,visa,debit
C04346-K2,,
C02285-K1,visa,debit
C02285-K2,,
C12352-K1,mastercard,debit
C12352-K2,,
C06879-K1,mastercard,debit
C09885-K1,visa,debit
C11298-K1,visa,credit
C11298-K2,visa,debit
C02133-K1,visa,debit
C08555-K1,mastercard,debit
C13007-K1,visa,debit
C06022-K1,mastercard,debit
C06022-K2,,
C06040-K1,visa,debit
C13517-K1,visa,debit
C13517-K2,visa,debit
C10325-K1,visa,debit
C02914-K1,mastercard,credit
C02914-K2,,
C06198-K1,visa,debit
C07386-K1,mastercard,debit
C05736-K1,mastercard,credit
C05859-K1,mastercard,debit
C06173-K1,mastercard,debit
C00723-K1,visa,debit
C00723-K2,,
C05786-K1,visa,debit
C05786-K2,,
C02576-K1,american express,credit
C08397-K1,mastercard,debit
C06059-K1,visa,debit
C06059-K2,,
C12666-K1,visa,debit
C04575-K1,visa,debit
C04575-K2,,
C10222-K1,visa,debit
C02102-K1,visa,debit
C07730-K1,visa,debit
C12655-K1,visa,debit
C06818-K1,visa,debit
C05574-K1,visa,debit
C06494-K1,visa,debit
C06494-K2,,
C03539-K1,mastercard,credit
C09700-K1,visa,debit
C11014-K1,visa,debit
C09938-K1,visa,debit
C11297-K1,mastercard,debit
C04078-K1,mastercard,debit
C09529-K1,visa,credit
C03184-K1,mastercard,debit
C05610-K1,visa,debit
C02999-K1,visa,debit
C02999-K2,,
C03813-K1,visa,debit
C03941-K1,visa,debit
C07619-K1,visa,debit
C02030-K1,visa,debit
C12730-K1,american express,credit
C09823-K1,visa,debit
C04436-K1,mastercard,debit
C02701-K1,mastercard,debit
C12223-K1,visa,debit
C02200-K1,visa,debit
C08217-K1,mastercard,debit
C08217-K2,,
C06942-K1,mastercard,debit
C06942-K2,,
C13360-K1,mastercard,debit
C05290-K1,visa,debit
C05290-K2,,
C06130-K1,visa,credit
C06532-K1,mastercard,debit
C06532-K2,,
C12638-K1,visa,debit
C08482-K1,visa,debit
C13067-K1,mastercard,credit
C12211-K1,visa,debit
C12211-K2,,
C03608-K1,visa,debit
C03348-K1,visa,credit
C01559-K1,visa,debit
C08297-K1,visa,credit
C12119-K1,visa,debit
C03633-K1,mastercard,debit
C05467-K1,visa,debit
C04278-K1,visa,debit
C03060-K1,visa,debit
C04072-K1,mastercard,debit
C04072-K2,mastercard,debit
C04072-K3,,
C12036-K1,visa,debit
C12036-K2,,
C00113-K1,mastercard,debit
C12320-K1,american express,credit
C05999-K1,visa,debit
C09491-K1,visa,debit
C03441-K1,mastercard,credit
C03441-K2,mastercard,debit
C03441-K3,mastercard,credit
C02567-K1,mastercard,debit
C09495-K1,visa,debit
C10861-K1,american express,debit
C12889-K1,visa,debit
C05359-K1,visa,debit
C11495-K1,mastercard,debit
C04861-K1,mastercard,credit
C04861-K2,,
C04759-K1,american express,credit
C04974-K1,mastercard,debit
C04974-K2,mastercard,debit
C04974-K3,,
C03388-K1,mastercard,debit
C03388-K2,mastercard,debit
C01603-K1,mastercard,debit
C07750-K1,visa,debit
C07750-K2,,
C04860-K1,visa,credit
C02978-K1,visa,debit
C01126-K1,visa,debit
C02071-K1,visa,debit
C00415-K1,visa,debit
C11995-K1,american express,credit
C07462-K1,visa,debit
C08374-K1,mastercard,credit
C04296-K1,visa,debit
C00924-K1,visa,debit
C08214-K1,visa,debit
C04421-K1,visa,debit
C06556-K1,mastercard,debit
C06434-K1,mastercard,debit
C12947-K1,visa,debit
C01357-K1,mastercard,debit
C12831-K1,visa,debit
C00527-K1,visa,debit
C02389-K1,mastercard,credit
C00285-K1,visa,credit
C08087-K1,mastercard,credit
C06855-K1,mastercard,credit
C05738-K1,visa,credit
C05673-K1,mastercard,debit
C07594-K1,visa,credit
C13468-K1,mastercard,debit
C13410-K1,visa,debit
C06870-K1,visa,debit
C00232-K1,visa,debit
C00232-K2,visa,debit
C00232-K3,,
C12957-K1,visa,debit
C13340-K1,visa,debit
C13340-K2,visa,debit
C10974-K1,mastercard,debit
C06599-K1,visa,debit
C06426-K1,mastercard,debit
C06426-K2,mastercard,debit
C06578-K1,visa,debit
C04096-K1,visa,debit
C04096-K2,,
C01695-K1,visa,debit
